table,Note ID,Note,Dimension name,Member Name
35-10-0177-01,1,"Incident-based Uniform Crime Reporting Survey (UCR2) data are not available for all respondents. In order to report this level of detail for police services still reporting to the Aggregate Uniform Crime Reporting Survey (UCR) over this time, a process of imputation was applied to derive counts for violations that do not exist on their own in the aggregate survey. For approximately 80% of the aggregate offence codes, there is a 1:1 mapping with a new incident-based violation code. For violations where this was not the case, such as the aggregate other Criminal Code category, it was necessary to estimate (impute) this figure using the distribution of other Criminal Code offences from existing Incident-based UCR2 respondents.",,
35-10-0177-01,2,"During the production of each year's crime statistics, data from the previous year are revised to reflect any updates or changes that have been received from the police services. For more information on the concepts, methods and quality of the data contained in this table, please contact the Canadian Centre for Justice and Community Safety Statistics at statcan.ccjcss-ccsjsc.statcan@statcan.gc.ca.",,
35-10-0177-01,3,"The methodology for calculating census metropolitan area (CMA) populations was modified in 2003. Starting in 1996, the populations for CMAs have been adjusted to reflect the actual policing boundaries within the CMA and do not reflect the official Statistics Canada population for these CMAs. CMA data are included within province-level data.",,
35-10-0177-01,3,"The methodology for calculating census metropolitan area (CMA) populations was modified in 2003. Starting in 1996, the populations for CMAs have been adjusted to reflect the actual policing boundaries within the CMA and do not reflect the official Statistics Canada population for these CMAs. CMA data are included within province-level data.",,
35-10-0177-01,4,"Part of the 2007 increase in crime in St. John's, Newfoundland and Labrador and Saint John, New Brunswick can be attributed to changes in police reporting practices rather than actual increases in criminal activity.",Geography,"St. John's, Newfoundland and Labrador [10001]"
35-10-0177-01,4,"Part of the 2007 increase in crime in St. John's, Newfoundland and Labrador and Saint John, New Brunswick can be attributed to changes in police reporting practices rather than actual increases in criminal activity.",Geography,"Saint John, New Brunswick [13310]"
35-10-0177-01,5,The census metropolitan area (CMA) of Saguenay was formerly known as Chicoutimi-Jonquière.,Geography,"Saguenay, Quebec [24408]"
35-10-0177-01,6,The census metropolitan area (CMA) of Ottawa-Gatineau was formerly known as Ottawa-Hull.,Geography,"Ottawa-Gatineau, Quebec part [24505]"
35-10-0177-01,6,The census metropolitan area (CMA) of Ottawa-Gatineau was formerly known as Ottawa-Hull.,Geography,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]"
35-10-0177-01,6,The census metropolitan area (CMA) of Ottawa-Gatineau was formerly known as Ottawa-Hull.,Geography,"Ottawa-Gatineau, Ontario part [35505]"
35-10-0177-01,7,"During the revision of 2001 data for the province of Ontario, a discrepancy in methodology applied by the forces in the province using the Ontario Municipal and Provincial Police Automated Co-operative (OMPPAC) system was detected. These forces report approximately one-third of the total criminal incidents for the province and include the Ontario Provincial Police and about 60 small and mid-sized municipal forces. This discrepancy resulted in an over-count of less serious criminal incidents. During 2003 and 2004, the Canadian Centre for Justice Statistics (CCJS) consulted with affected police services and analyzed both historical Aggregate Uniform Crime Reporting Survey (UCR) data and more recent Incident-based Uniform Crime Reporting Survey (UCR2) microdata to determine the impact of this over-reporting. The effect at the Canada level was, on average, 1% per year from 1977 to 2000. This over-counting peaked in 1991, where it was estimated that the total crime rate for the country was over-estimated by approximately 1.8%. However, the overall historical trend changed very little. The impact in Ontario is more noticeable, but the overall trend is still very similar. On average, the effect was 2% to 3% per year, with the biggest change occurring in 1991, where the Ontario crime rate is 5% lower as a result of the adjustment. For further information, refer to the report:<a href=""https://www.statcan.gc.ca/imdb-bmdi/document/3302_D13_T9_V1-eng.pdf"" rel=""external noopener noreferrer"" target=""_blank"">Summary of Historical Adjustments to Crime Data for Ontario 1977-2000 (opens new window)</a>.",Geography,Ontario [35]
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Kingston, Ontario [35521]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Abbotsford-Mission, British Columbia [59932]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Moncton, New Brunswick [13305]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Peterborough, Ontario [35529]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Brantford, Ontario [35543]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Guelph, Ontario [35550]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Barrie, Ontario [35568]"
