table,kind,level,flag,meaning,rows,columns,examples
32-10-0370-01,footnote,caution,1,"In 2021, there have been changes to the definition of a census farm. Caution should be taken when comparing the 2021 Census of Agriculture data with data from previous censuses. For a summary of these changes, refer to Dictionary.",,whole table,
32-10-0370-01,footnote,caution,2,"In 2021, there have been changes to the definition of a census farm; in Yukon and Northwest Territories, some activities that were previously included within the definition are not included in 2021. Caution should be taken when comparing the 2021 Census of Agriculture data with data from previous censuses.",,whole table,
32-10-0370-01,footnote,caution,4,"The Census of Agriculture typically makes significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. In 2021, the main farm location's rule was used more stringently, meaning far fewer refinements were made. Due to these changes caution should be taken when comparing 2021 Census of Agriculture data with previous censuses.",,whole table,
32-10-0370-01,symbol,caution,D,data quality: acceptable,1,status,"2021 / 2021-07-01 / North Dumfries, Ontario [CCS350230004] / Total cattle"
32-10-0370-01,symbol,note,A,data quality: excellent,1,status,"2021 / 2021-07-01 / Wellesley, Ontario [CCS350230027] / Total cattle"
32-10-0370-01,symbol,note,B,data quality: very good,1,status,"2021 / 2021-07-01 / Woolwich, Ontario [CCS350230035] / Total cattle"
32-10-0370-01,symbol,note,C,data quality: good,1,status,"2021 / 2021-07-01 / Wilmot, Ontario [CCS350230020] / Total cattle"
32-10-0371-01,symbol,unusable,F,too unreliable to be published,1,status,"2021 / 2021-07-01 / North Dumfries, Ontario [CCS350230004] / Total sheep"
32-10-0371-01,footnote,caution,1,"In 2021, there have been changes to the definition of a census farm. Caution should be taken when comparing the 2021 Census of Agriculture data with data from previous censuses. For a summary of these changes, refer to Dictionary.",,whole table,
32-10-0371-01,footnote,caution,2,"In 2021, there have been changes to the definition of a census farm; in Yukon and Northwest Territories, some activities that were previously included within the definition are not included in 2021. Caution should be taken when comparing the 2021 Census of Agriculture data with data from previous censuses.",,whole table,
32-10-0371-01,footnote,caution,4,"The Census of Agriculture typically makes significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. In 2021, the main farm location's rule was used more stringently, meaning far fewer refinements were made. Due to these changes caution should be taken when comparing 2021 Census of Agriculture data with previous censuses.",,whole table,
32-10-0371-01,symbol,caution,D,data quality: acceptable,1,status,"2021 / 2021-07-01 / Wilmot, Ontario [CCS350230020] / Total sheep"
32-10-0371-01,symbol,note,B,data quality: very good,2,status,"2021 / 2021-07-01 / Wellesley, Ontario [CCS350230027] / Total sheep; 2021 / 2021-07-01 / Woolwich, Ontario [CCS350230035] / Total sheep"
32-10-0372-01,symbol,unusable,E,use with caution (never used on this site),2,status,"2021 / 2021-07-01 / North Dumfries, Ontario [CCS350230004] / Total pigs; 2021 / 2021-07-01 / Woolwich, Ontario [CCS350230035] / Total pigs"
32-10-0372-01,symbol,unusable,F,too unreliable to be published,1,status,"2021 / 2021-07-01 / Wilmot, Ontario [CCS350230020] / Total pigs"
32-10-0372-01,footnote,caution,1,"In 2021, there have been changes to the definition of a census farm. Caution should be taken when comparing the 2021 Census of Agriculture data with data from previous censuses. For a summary of these changes, refer to Dictionary.",,whole table,
32-10-0372-01,footnote,caution,2,"In 2021, there have been changes to the definition of a census farm; in Yukon and Northwest Territories, some activities that were previously included within the definition are not included in 2021. Caution should be taken when comparing the 2021 Census of Agriculture data with data from previous censuses.",,whole table,
32-10-0372-01,footnote,caution,4,"The Census of Agriculture typically makes significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. In 2021, the main farm location's rule was used more stringently, meaning far fewer refinements were made. Due to these changes caution should be taken when comparing 2021 Census of Agriculture data with previous censuses.",,whole table,
32-10-0372-01,symbol,caution,D,data quality: acceptable,1,status,"2021 / 2021-07-01 / Wellesley, Ontario [CCS350230027] / Total pigs"
32-10-0424-01,footnote,caution,21,"There are significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. These assignment and boundary changes mean that caution should be taken when comparing the data between censuses. This effect is particularly pronounced when comparing 2016 Census of Agriculture data to previous census data in Prince Edward Island, Quebec and the Northwest Territories.",,whole table,
32-10-0424-01,footnote,note,2,"Due to confidentiality constraints, the data for one or more geographic areas having very few farms may be combined with the data from another census consolidated subdivision or census division. For the names of the geographic areas amalgamated access the 2016 Geographic area amalgamations or the 2011 Geographic area amalgamations.",,whole table,
32-10-0425-01,symbol,unusable,x,suppressed to meet the confidentiality requirements of the Statistics Act,1,status,"2016 / 2016-07-01 / North Dumfries, Ontario [CCS350230004] / Total sheep and lambs"
32-10-0425-01,footnote,caution,21,"There are significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. These assignment and boundary changes mean that caution should be taken when comparing the data between censuses. This effect is particularly pronounced when comparing 2016 Census of Agriculture data to previous census data in Prince Edward Island, Quebec and the Northwest Territories.",,whole table,
32-10-0425-01,footnote,note,18,The data for the Yukon are not included in the national totals because of the different definition of an agricultural operation in the territories and confidentiality constraints.,,whole table,
32-10-0425-01,footnote,note,19,The data for the Northwest Territories are not included in the national totals because of the different definition of an agricultural operation in the territories and confidentiality constraints.,,whole table,
32-10-0425-01,footnote,note,2,"Due to confidentiality constraints, the data for one or more geographic areas having very few farms may be combined with the data from another census consolidated subdivision or census division. For the names of the geographic areas amalgamated access the 2016 Geographic area amalgamations or the 2011 Geographic area amalgamations.",,whole table,
