district,district_type,destination,workers,percent,percent_lower,percent_upper,cv,quality
Cambridge,City,Elsewhere in the Region,7185,16.215301286391334,15.33384864913749,17.137167490905743,0.027299928749880704,NA
Cambridge,City,In their own municipality,24845,56.07086436470323,55.239985466129525,56.89835411189631,0.007261004875620675,NA
Cambridge,City,Outside the Region,12280,27.713834348905436,26.99217644566693,28.447268475396488,0.012889325393722083,NA
Kitchener,City,Elsewhere in the Region,28015,36.86184210526316,36.235346461342324,37.49280062079269,0.008374183307596242,NA
Kitchener,City,In their own municipality,35770,47.06578947368421,46.74128940901799,47.39053776084458,0.0033861629086664397,NA
Kitchener,City,Outside the Region,12215,16.072368421052634,15.580462388460568,16.576755317228717,0.015216200417188987,NA
North Dumfries,Township,Elsewhere in the Region,1890,54.310344827586206,51.986089327161935,56.615983032281434,0.020948242641884916,NA
North Dumfries,Township,In their own municipality,745,21.408045977011493,18.473791816393955,24.66734279396538,0.07112049918721781,NA
North Dumfries,Township,Outside the Region,845,24.281609195402297,21.35006276067282,27.475066050180548,0.062020197851503124,NA
Waterloo,City,Elsewhere in the Region,13045,43.38210841370137,42.14664023132265,44.625856960446164,0.014032352757970238,NA
Waterloo,City,In their own municipality,13560,45.09477884935151,43.91680714011092,46.27827451462513,0.012857898421176893,NA
Waterloo,City,Outside the Region,3465,11.523112736947123,10.753415424135753,12.340284924533853,0.033799023322273455,NA
Wellesley,Township,Elsewhere in the Region,1490,51.114922813036024,47.270579517176195,54.9461227079074,0.036968998101703385,NA
Wellesley,Township,In their own municipality,940,32.24699828473413,27.57422782462897,37.303769145804445,0.07440789297542014,NA
Wellesley,Township,Outside the Region,485,16.638078902229847,14.879241627800575,18.55949224463078,0.05430914562389519,NA
Wilmot,Township,Elsewhere in the Region,3455,53.98437499999999,52.618723294246514,55.34407010783065,0.012396760908210373,NA
Wilmot,Township,In their own municipality,2000,31.25,29.075528917764377,33.51025782151623,0.03486794037920377,NA
Wilmot,Township,Outside the Region,945,14.765624999999998,13.502683762936005,16.124671557514127,0.04358895276281968,NA
Woolwich,Township,Elsewhere in the Region,3605,43.04477611940298,41.38236260170214,44.72301964513022,0.01906105801993151,NA
Woolwich,Township,In their own municipality,3280,39.16417910447761,37.12623939036342,41.24060918608704,0.025809196766599544,NA
Woolwich,Township,Outside the Region,1490,17.791044776119403,15.77913024258809,19.998574284023597,0.05824251994344116,NA
