home_csd,home,work_csd,work,in_region,top_outside,workers,percent
3530010,Cambridge,3530010,Cambridge,TRUE,FALSE,24850,56.342818274572046
3530010,Cambridge,3530013,Kitchener,TRUE,FALSE,4365,9.896837093300078
3530010,Cambridge,3523008,Guelph,FALSE,TRUE,3440,7.799569209840154
3530010,Cambridge,3530016,Waterloo,TRUE,FALSE,1420,3.2195896156898307
3530010,Cambridge,3521005,Mississauga,FALSE,FALSE,1325,3.0041945357669197
3530010,Cambridge,3524009,Milton,FALSE,FALSE,1020,2.3126629633828366
3530010,Cambridge,3529006,Brantford,FALSE,FALSE,965,2.187960548690625
3530010,Cambridge,3525005,Hamilton,FALSE,FALSE,920,2.085931300306088
3530010,Cambridge,3530004,North Dumfries,TRUE,FALSE,685,1.5531118920757283
3530010,Cambridge,3520005,Toronto,FALSE,FALSE,675,1.5304387257680536
3530010,Cambridge,3523001,Puslinch,FALSE,FALSE,650,1.4737558099988664
3530010,Cambridge,3521010,Brampton,FALSE,FALSE,580,1.3150436458451422
3530010,Cambridge,3530035,Woolwich,TRUE,FALSE,540,1.2243509806144428
3530010,Cambridge,3529005,Brant,FALSE,FALSE,360,0.8162339870762952
3530010,Cambridge,3524002,Burlington,FALSE,FALSE,330,0.7482144881532706
3530010,Cambridge,3524001,Oakville,FALSE,FALSE,290,0.6575218229225711
3530010,Cambridge,3524015,Halton Hills,FALSE,FALSE,220,0.4988096587688471
3530010,Cambridge,3532042,Woodstock,FALSE,FALSE,190,0.43079015984582253
3530010,Cambridge,3523009,Guelph/Eramosa,FALSE,FALSE,175,0.39678041038431017
3530010,Cambridge,3519028,Vaughan,FALSE,FALSE,160,0.3627706609227979
3530010,Cambridge,3530020,Wilmot,TRUE,FALSE,160,0.3627706609227979
3530010,Cambridge,3539036,London,FALSE,FALSE,110,0.24940482938442354
3530010,Cambridge,3531011,Stratford,FALSE,FALSE,100,0.22673166307674866
3530010,Cambridge,3523025,Centre Wellington,FALSE,FALSE,75,0.1700487473075615
3530010,Cambridge,3532045,Blandford-Blenheim,FALSE,FALSE,50,0.11336583153837433
3530010,Cambridge,3528052,Norfolk County,FALSE,FALSE,35,0.07935608207686203
3530010,Cambridge,3521024,Caledon,FALSE,FALSE,30,0.0680194989230246
3530010,Cambridge,3519036,Markham,FALSE,FALSE,25,0.056682915769187166
3530010,Cambridge,3528018,Haldimand County,FALSE,FALSE,25,0.056682915769187166
3530010,Cambridge,3531040,North Perth,FALSE,FALSE,25,0.056682915769187166
3530010,Cambridge,3532018,Ingersoll,FALSE,FALSE,25,0.056682915769187166
3530010,Cambridge,3523050,Wellington North,FALSE,FALSE,20,0.04534633261534974
3530010,Cambridge,3532038,East Zorra-Tavistock,FALSE,FALSE,20,0.04534633261534974
3530010,Cambridge,3518009,Whitby,FALSE,FALSE,15,0.0340097494615123
3530010,Cambridge,3519049,King,FALSE,FALSE,15,0.0340097494615123
3530010,Cambridge,3526021,West Lincoln,FALSE,FALSE,15,0.0340097494615123
3530010,Cambridge,3526053,St. Catharines,FALSE,FALSE,15,0.0340097494615123
3530010,Cambridge,3530027,Wellesley,TRUE,FALSE,15,0.0340097494615123
3530010,Cambridge,3532004,Tillsonburg,FALSE,FALSE,15,0.0340097494615123
3530010,Cambridge,3558004,Thunder Bay,FALSE,FALSE,15,0.0340097494615123
3530010,Cambridge,1209034,Halifax,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3518005,Ajax,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3519048,Newmarket,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3526014,Wainfleet,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3526037,Thorold,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3531025,West Perth,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3534020,Central Elgin,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3534021,St. Thomas,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3534030,Dutton/Dunwich,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3537039,Windsor,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3538003,St. Clair,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3540040,Huron East,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,3557061,Sault Ste. Marie,FALSE,FALSE,10,0.02267316630767487
3530010,Cambridge,4806016,Calgary,FALSE,FALSE,10,0.02267316630767487
3530013,Kitchener,3530013,Kitchener,TRUE,FALSE,35775,47.19968335642193
3530013,Kitchener,3530016,Waterloo,TRUE,FALSE,12010,15.845372386041296
3530013,Kitchener,3530010,Cambridge,TRUE,FALSE,10550,13.919123952767332
3530013,Kitchener,3523008,Guelph,FALSE,TRUE,5090,6.7154825516195
3530013,Kitchener,3530035,Woolwich,TRUE,FALSE,3245,4.281285045187677
3530013,Kitchener,3530004,North Dumfries,TRUE,FALSE,995,1.3127515007586252
3530013,Kitchener,3530020,Wilmot,TRUE,FALSE,965,1.2731710534995713
3530013,Kitchener,3521005,Mississauga,FALSE,FALSE,905,1.1940101589814631
3530013,Kitchener,3520005,Toronto,FALSE,FALSE,785,1.035688369945247
3530013,Kitchener,3531011,Stratford,FALSE,FALSE,570,0.7520284979220265
3530013,Kitchener,3525005,Hamilton,FALSE,FALSE,405,0.5343360379972293
3530013,Kitchener,3524009,Milton,FALSE,FALSE,395,0.5211425555775447
3530013,Kitchener,3529006,Brantford,FALSE,FALSE,385,0.5079490731578601
3530013,Kitchener,3521010,Brampton,FALSE,FALSE,340,0.448578402269279
3530013,Kitchener,3532042,Woodstock,FALSE,FALSE,335,0.4419816610594367
3530013,Kitchener,3523001,Puslinch,FALSE,FALSE,330,0.43538491984959427
3530013,Kitchener,3523025,Centre Wellington,FALSE,FALSE,280,0.36941750775117094
3530013,Kitchener,3530027,Wellesley,TRUE,FALSE,245,0.3232403192822746
3530013,Kitchener,3523009,Guelph/Eramosa,FALSE,FALSE,200,0.26386964839369353
3530013,Kitchener,3529005,Brant,FALSE,FALSE,185,0.2440794247641665
3530013,Kitchener,3524001,Oakville,FALSE,FALSE,155,0.2044989775051125
3530013,Kitchener,3524002,Burlington,FALSE,FALSE,155,0.2044989775051125
3530013,Kitchener,3539036,London,FALSE,FALSE,145,0.1913054950854278
3530013,Kitchener,3524015,Halton Hills,FALSE,FALSE,125,0.16491853024605843
3530013,Kitchener,3519028,Vaughan,FALSE,FALSE,120,0.1583217890362161
3530013,Kitchener,3531040,North Perth,FALSE,FALSE,110,0.14512830661653145
3530013,Kitchener,3532038,East Zorra-Tavistock,FALSE,FALSE,80,0.1055478593574774
3530013,Kitchener,3541024,Kincardine,FALSE,FALSE,75,0.09895111814763506
3530013,Kitchener,3521024,Caledon,FALSE,FALSE,65,0.0857576357279504
3530013,Kitchener,3532045,Blandford-Blenheim,FALSE,FALSE,65,0.0857576357279504
3530013,Kitchener,3523050,Wellington North,FALSE,FALSE,60,0.07916089451810805
3530013,Kitchener,3523043,Minto,FALSE,FALSE,45,0.05937067088858104
3530013,Kitchener,3523033,Mapleton,FALSE,FALSE,40,0.0527739296787387
3530013,Kitchener,3519036,Markham,FALSE,FALSE,35,0.04617718846889637
3530013,Kitchener,3531030,Perth East,FALSE,FALSE,35,0.04617718846889637
3530013,Kitchener,3532018,Ingersoll,FALSE,FALSE,35,0.04617718846889637
3530013,Kitchener,3531016,St. Marys,FALSE,FALSE,30,0.039580447259054026
3530013,Kitchener,3506008,Ottawa,FALSE,FALSE,25,0.03298370604921169
3530013,Kitchener,3526053,St. Catharines,FALSE,FALSE,25,0.03298370604921169
3530013,Kitchener,3528052,Norfolk County,FALSE,FALSE,25,0.03298370604921169
3530013,Kitchener,3519038,Richmond Hill,FALSE,FALSE,20,0.02638696483936935
3530013,Kitchener,3522014,Orangeville,FALSE,FALSE,20,0.02638696483936935
3530013,Kitchener,3528018,Haldimand County,FALSE,FALSE,20,0.02638696483936935
3530013,Kitchener,3532004,Tillsonburg,FALSE,FALSE,20,0.02638696483936935
3530013,Kitchener,3518009,Whitby,FALSE,FALSE,15,0.019790223629527013
3530013,Kitchener,3539027,Thames Centre,FALSE,FALSE,15,0.019790223629527013
3530013,Kitchener,4816037,Wood Buffalo,FALSE,FALSE,15,0.019790223629527013
3530013,Kitchener,1310032,Fredericton,FALSE,FALSE,10,0.013193482419684675
3530013,Kitchener,2466023,Montréal,FALSE,FALSE,10,0.013193482419684675
3530013,Kitchener,3510010,Kingston,FALSE,FALSE,10,0.013193482419684675
3530013,Kitchener,3514020,Port Hope,FALSE,FALSE,10,0.013193482419684675
3530013,Kitchener,3516010,Kawartha Lakes,FALSE,FALSE,10,0.013193482419684675
3530013,Kitchener,3518001,Pickering,FALSE,FALSE,10,0.013193482419684675
3530013,Kitchener,3518005,Ajax,FALSE,FALSE,10,0.013193482419684675
3530013,Kitchener,3519046,Aurora,FALSE,FALSE,10,0.013193482419684675
