home_csd,home,work_csd,work,workers,percent
3523008,Guelph,3530010,Cambridge,2125,7.77676120768527
3525005,Hamilton,3530010,Cambridge,1400,5.123513266239707
3529006,Brantford,3530010,Cambridge,1315,4.812442817932296
3523008,Guelph,3530013,Kitchener,1260,4.611161939615736
3529005,Brant,3530010,Cambridge,1145,4.190301921317475
3532042,Woodstock,3530010,Cambridge,640,2.342177493138152
3523008,Guelph,3530016,Waterloo,590,2.159194876486734
3523008,Guelph,3530035,Woolwich,510,1.8664226898444647
3532042,Woodstock,3530013,Kitchener,415,1.5187557182067704
3529005,Brant,3530013,Kitchener,390,1.4272644098810614
3523033,Mapleton,3530035,Woolwich,385,1.4089661482159195
3525005,Hamilton,3530013,Kitchener,385,1.4089661482159195
3532045,Blandford-Blenheim,3530010,Cambridge,345,1.262580054894785
3523025,Centre Wellington,3530010,Cambridge,340,1.244281793229643
3524009,Milton,3530010,Cambridge,335,1.2259835315645013
3531011,Stratford,3530013,Kitchener,330,1.2076852698993596
3532045,Blandford-Blenheim,3530013,Kitchener,325,1.1893870082342177
3523025,Centre Wellington,3530013,Kitchener,320,1.171088746569076
3521005,Mississauga,3530010,Cambridge,305,1.1161939615736505
3523001,Puslinch,3530010,Cambridge,305,1.1161939615736505
3520005,Toronto,3530010,Cambridge,280,1.0247026532479415
3531040,North Perth,3530035,Woolwich,280,1.0247026532479415
3521010,Brampton,3530010,Cambridge,275,1.0064043915827996
3521005,Mississauga,3530013,Kitchener,270,0.9881061299176578
3523025,Centre Wellington,3530035,Woolwich,250,0.9149130832570906
3523033,Mapleton,3530027,Wellesley,230,0.8417200365965234
3531030,Perth East,3530027,Wellesley,230,0.8417200365965234
3532038,East Zorra-Tavistock,3530013,Kitchener,230,0.8417200365965234
3531011,Stratford,3530035,Woolwich,225,0.8234217749313815
3529006,Brantford,3530013,Kitchener,220,0.8051235132662397
3524002,Burlington,3530010,Cambridge,215,0.786825251601098
3531030,Perth East,3530020,Wilmot,215,0.786825251601098
3520005,Toronto,3530013,Kitchener,205,0.7502287282708142
3523025,Centre Wellington,3530016,Waterloo,200,0.7319304666056725
3529005,Brant,3530004,North Dumfries,200,0.7319304666056725
3539036,London,3530010,Cambridge,200,0.7319304666056725
3520005,Toronto,3530016,Waterloo,190,0.6953339432753889
3532045,Blandford-Blenheim,3530004,North Dumfries,170,0.6221408966148215
3531030,Perth East,3530013,Kitchener,160,0.585544373284538
3521005,Mississauga,3530016,Waterloo,155,0.5672461116193962
3525005,Hamilton,3530016,Waterloo,150,0.5489478499542544
3528052,Norfolk County,3530010,Cambridge,145,0.5306495882891126
3531011,Stratford,3530020,Wilmot,145,0.5306495882891126
3532018,Ingersoll,3530010,Cambridge,145,0.5306495882891126
3539036,London,3530013,Kitchener,145,0.5306495882891126
3523033,Mapleton,3530013,Kitchener,140,0.5123513266239708
3531011,Stratford,3530010,Cambridge,140,0.5123513266239708
3531040,North Perth,3530013,Kitchener,135,0.4940530649588289
3532042,Woodstock,3530004,North Dumfries,135,0.4940530649588289
3521010,Brampton,3530013,Kitchener,130,0.4757548032936871
3523009,Guelph/Eramosa,3530010,Cambridge,130,0.4757548032936871
3531011,Stratford,3530016,Waterloo,130,0.4757548032936871
3532042,Woodstock,3530016,Waterloo,130,0.4757548032936871
3523033,Mapleton,3530016,Waterloo,125,0.4574565416285453
3531030,Perth East,3530035,Woolwich,125,0.4574565416285453
3532038,East Zorra-Tavistock,3530020,Wilmot,125,0.4574565416285453
3532045,Blandford-Blenheim,3530020,Wilmot,125,0.4574565416285453
3524015,Halton Hills,3530010,Cambridge,120,0.4391582799634035
3532038,East Zorra-Tavistock,3530010,Cambridge,120,0.4391582799634035
3529006,Brantford,3530004,North Dumfries,115,0.4208600182982617
3529006,Brantford,3530016,Waterloo,115,0.4208600182982617
3529005,Brant,3530016,Waterloo,110,0.4025617566331198
3531030,Perth East,3530016,Waterloo,110,0.4025617566331198
3531040,North Perth,3530027,Wellesley,110,0.4025617566331198
3532002,Norwich,3530010,Cambridge,110,0.4025617566331198
3523001,Puslinch,3530013,Kitchener,100,0.36596523330283626
3523009,Guelph/Eramosa,3530013,Kitchener,100,0.36596523330283626
3524009,Milton,3530013,Kitchener,95,0.34766697163769444
3525005,Hamilton,3530004,North Dumfries,95,0.34766697163769444
3528052,Norfolk County,3530035,Woolwich,95,0.34766697163769444
3531040,North Perth,3530010,Cambridge,95,0.34766697163769444
3531040,North Perth,3530016,Waterloo,95,0.34766697163769444
3521010,Brampton,3530016,Waterloo,90,0.3293687099725526
3523043,Minto,3530035,Woolwich,90,0.3293687099725526
3524001,Oakville,3530013,Kitchener,90,0.3293687099725526
3524009,Milton,3530016,Waterloo,90,0.3293687099725526
3532045,Blandford-Blenheim,3530016,Waterloo,90,0.3293687099725526
3528018,Haldimand County,3530010,Cambridge,85,0.31107044830741076
3539036,London,3530016,Waterloo,85,0.31107044830741076
3524002,Burlington,3530013,Kitchener,80,0.292772186642269
3524001,Oakville,3530010,Cambridge,75,0.2744739249771272
3532018,Ingersoll,3530013,Kitchener,75,0.2744739249771272
3539036,London,3530035,Woolwich,75,0.2744739249771272
3525005,Hamilton,3530035,Woolwich,70,0.2561756633119854
3528052,Norfolk County,3530013,Kitchener,70,0.2561756633119854
3519036,Markham,3530016,Waterloo,65,0.23787740164684354
3523008,Guelph,3530004,North Dumfries,65,0.23787740164684354
3523050,Wellington North,3530035,Woolwich,65,0.23787740164684354
3524015,Halton Hills,3530013,Kitchener,65,0.23787740164684354
3526053,St. Catharines,3530010,Cambridge,65,0.23787740164684354
3532004,Tillsonburg,3530010,Cambridge,65,0.23787740164684354
3523043,Minto,3530013,Kitchener,60,0.21957913998170175
3529005,Brant,3530035,Woolwich,60,0.21957913998170175
3532027,Zorra,3530010,Cambridge,60,0.21957913998170175
3523009,Guelph/Eramosa,3530016,Waterloo,55,0.2012808783165599
3523050,Wellington North,3530013,Kitchener,55,0.2012808783165599
3531030,Perth East,3530010,Cambridge,55,0.2012808783165599
3519036,Markham,3530013,Kitchener,50,0.18298261665141813
3523043,Minto,3530016,Waterloo,50,0.18298261665141813
3524001,Oakville,3530016,Waterloo,50,0.18298261665141813
3524002,Burlington,3530016,Waterloo,50,0.18298261665141813
3529006,Brantford,3530035,Woolwich,50,0.18298261665141813
3532004,Tillsonburg,3530035,Woolwich,50,0.18298261665141813
3532042,Woodstock,3530020,Wilmot,50,0.18298261665141813
3532042,Woodstock,3530035,Woolwich,50,0.18298261665141813
3519036,Markham,3530010,Cambridge,45,0.1646843549862763
3523017,Erin,3530010,Cambridge,45,0.1646843549862763
3523033,Mapleton,3530010,Cambridge,45,0.1646843549862763
3532027,Zorra,3530013,Kitchener,45,0.1646843549862763
3532038,East Zorra-Tavistock,3530016,Waterloo,45,0.1646843549862763
3539036,London,3530004,North Dumfries,45,0.1646843549862763
3519038,Richmond Hill,3530016,Waterloo,40,0.1463860933211345
3521005,Mississauga,3530035,Woolwich,40,0.1463860933211345
3523008,Guelph,3530020,Wilmot,40,0.1463860933211345
3523009,Guelph/Eramosa,3530035,Woolwich,40,0.1463860933211345
3523050,Wellington North,3530010,Cambridge,40,0.1463860933211345
3528018,Haldimand County,3530013,Kitchener,40,0.1463860933211345
3532038,East Zorra-Tavistock,3530004,North Dumfries,40,0.1463860933211345
3539027,Thames Centre,3530010,Cambridge,40,0.1463860933211345
3520005,Toronto,3530035,Woolwich,35,0.1280878316559927
3523043,Minto,3530010,Cambridge,35,0.1280878316559927
3523043,Minto,3530027,Wellesley,35,0.1280878316559927
3523050,Wellington North,3530016,Waterloo,35,0.1280878316559927
3526043,Niagara Falls,3530010,Cambridge,35,0.1280878316559927
3532012,South-West Oxford,3530010,Cambridge,35,0.1280878316559927
3532018,Ingersoll,3530035,Woolwich,35,0.1280878316559927
3519028,Vaughan,3530013,Kitchener,30,0.10978956999085088
3523001,Puslinch,3530016,Waterloo,30,0.10978956999085088
3523050,Wellington North,3530027,Wellesley,30,0.10978956999085088
3526057,Lincoln,3530010,Cambridge,30,0.10978956999085088
3531016,St. Marys,3530013,Kitchener,30,0.10978956999085088
3531025,West Perth,3530016,Waterloo,30,0.10978956999085088
3532004,Tillsonburg,3530013,Kitchener,30,0.10978956999085088
3540040,Huron East,3530013,Kitchener,30,0.10978956999085088
3541069,Northern Bruce Peninsula,3530013,Kitchener,30,0.10978956999085088
3542004,West Grey,3530013,Kitchener,30,0.10978956999085088
3542004,West Grey,3530035,Woolwich,30,0.10978956999085088
3506008,Ottawa,3530016,Waterloo,25,0.09149130832570906
3518001,Pickering,3530016,Waterloo,25,0.09149130832570906
3519028,Vaughan,3530016,Waterloo,25,0.09149130832570906
3519038,Richmond Hill,3530010,Cambridge,25,0.09149130832570906
3521005,Mississauga,3530004,North Dumfries,25,0.09149130832570906
3521010,Brampton,3530004,North Dumfries,25,0.09149130832570906
3521024,Caledon,3530010,Cambridge,25,0.09149130832570906
3521024,Caledon,3530013,Kitchener,25,0.09149130832570906
3523033,Mapleton,3530020,Wilmot,25,0.09149130832570906
3524015,Halton Hills,3530016,Waterloo,25,0.09149130832570906
3526065,Grimsby,3530010,Cambridge,25,0.09149130832570906
3528052,Norfolk County,3530004,North Dumfries,25,0.09149130832570906
3528052,Norfolk County,3530016,Waterloo,25,0.09149130832570906
3531025,West Perth,3530013,Kitchener,25,0.09149130832570906
3531040,North Perth,3530020,Wilmot,25,0.09149130832570906
3536020,Chatham-Kent,3530013,Kitchener,25,0.09149130832570906
3540040,Huron East,3530035,Woolwich,25,0.09149130832570906
3543042,Barrie,3530016,Waterloo,25,0.09149130832570906
3544065,Georgian Bay,3530013,Kitchener,25,0.09149130832570906
3518005,Ajax,3530016,Waterloo,20,0.07319304666056725
3519048,Newmarket,3530013,Kitchener,20,0.07319304666056725
3520005,Toronto,3530004,North Dumfries,20,0.07319304666056725
3522014,Orangeville,3530016,Waterloo,20,0.07319304666056725
3523001,Puslinch,3530035,Woolwich,20,0.07319304666056725
3523025,Centre Wellington,3530027,Wellesley,20,0.07319304666056725
3524009,Milton,3530035,Woolwich,20,0.07319304666056725
3529005,Brant,3530020,Wilmot,20,0.07319304666056725
3531011,Stratford,3530027,Wellesley,20,0.07319304666056725
3531016,St. Marys,3530010,Cambridge,20,0.07319304666056725
3531025,West Perth,3530035,Woolwich,20,0.07319304666056725
3532002,Norwich,3530016,Waterloo,20,0.07319304666056725
3532002,Norwich,3530035,Woolwich,20,0.07319304666056725
3532027,Zorra,3530020,Wilmot,20,0.07319304666056725
3534021,St. Thomas,3530016,Waterloo,20,0.07319304666056725
3536020,Chatham-Kent,3530010,Cambridge,20,0.07319304666056725
3540040,Huron East,3530010,Cambridge,20,0.07319304666056725
3540040,Huron East,3530016,Waterloo,20,0.07319304666056725
3540063,Ashfield-Colborne-Wawanosh,3530013,Kitchener,20,0.07319304666056725
3541015,Huron-Kinloss,3530016,Waterloo,20,0.07319304666056725
3541055,South Bruce Peninsula,3530013,Kitchener,20,0.07319304666056725
3542015,Grey Highlands,3530013,Kitchener,20,0.07319304666056725
3518001,Pickering,3530010,Cambridge,15,0.05489478499542544
3518001,Pickering,3530013,Kitchener,15,0.05489478499542544
3518009,Whitby,3530010,Cambridge,15,0.05489478499542544
3518013,Oshawa,3530013,Kitchener,15,0.05489478499542544
3519028,Vaughan,3530010,Cambridge,15,0.05489478499542544
3519048,Newmarket,3530016,Waterloo,15,0.05489478499542544
3519070,Georgina,3530016,Waterloo,15,0.05489478499542544
3521010,Brampton,3530027,Wellesley,15,0.05489478499542544
3523017,Erin,3530013,Kitchener,15,0.05489478499542544
3523017,Erin,3530035,Woolwich,15,0.05489478499542544
3523043,Minto,3530020,Wilmot,15,0.05489478499542544
3523050,Wellington North,3530020,Wilmot,15,0.05489478499542544
3524001,Oakville,3530035,Woolwich,15,0.05489478499542544
3524009,Milton,3530004,North Dumfries,15,0.05489478499542544
3526003,Fort Erie,3530010,Cambridge,15,0.05489478499542544
3526014,Wainfleet,3530010,Cambridge,15,0.05489478499542544
3526021,West Lincoln,3530010,Cambridge,15,0.05489478499542544
3526032,Welland,3530010,Cambridge,15,0.05489478499542544
3526037,Thorold,3530010,Cambridge,15,0.05489478499542544
3526043,Niagara Falls,3530013,Kitchener,15,0.05489478499542544
3526053,St. Catharines,3530013,Kitchener,15,0.05489478499542544
3528018,Haldimand County,3530004,North Dumfries,15,0.05489478499542544
3528052,Norfolk County,3530020,Wilmot,15,0.05489478499542544
3531011,Stratford,3530004,North Dumfries,15,0.05489478499542544
3531013,Perth South,3530020,Wilmot,15,0.05489478499542544
3531025,West Perth,3530010,Cambridge,15,0.05489478499542544
3531025,West Perth,3530020,Wilmot,15,0.05489478499542544
3532002,Norwich,3530013,Kitchener,15,0.05489478499542544
3532045,Blandford-Blenheim,3530035,Woolwich,15,0.05489478499542544
3534010,Malahide,3530035,Woolwich,15,0.05489478499542544
3536020,Chatham-Kent,3530016,Waterloo,15,0.05489478499542544
3537039,Windsor,3530016,Waterloo,15,0.05489478499542544
3539027,Thames Centre,3530013,Kitchener,15,0.05489478499542544
3540005,South Huron,3530020,Wilmot,15,0.05489478499542544
3540010,Bluewater,3530013,Kitchener,15,0.05489478499542544
3540010,Bluewater,3530035,Woolwich,15,0.05489478499542544
3540046,Howick,3530013,Kitchener,15,0.05489478499542544
3540046,Howick,3530035,Woolwich,15,0.05489478499542544
3541004,South Bruce,3530016,Waterloo,15,0.05489478499542544
3541015,Huron-Kinloss,3530010,Cambridge,15,0.05489478499542544
3541032,Brockton,3530010,Cambridge,15,0.05489478499542544
