district,district_type,mode,workers,percent,percent_lower,percent_upper,cv,quality
Cambridge,City,Active transportation,1290,2.910978224077626,2.56597859006327,3.3007921532484605,0.061862230281369605,NA
Cambridge,City,"Car, truck or van",40780,92.02301703712061,91.64813950523599,92.38246657592664,0.0019585301008476987,NA
Cambridge,City,Public transit,1510,3.407424122757531,3.0402905078902807,3.817146017375545,0.05589242021161622,NA
Kitchener,City,Active transportation,3230,4.249720413130715,4.03146883490361,4.479235998388739,0.02585677426901538,NA
Kitchener,City,"Car, truck or van",66715,87.77711992632064,87.36234980389945,88.18011899163746,0.0022868171512389485,NA
Kitchener,City,Public transit,4535,5.966712716268666,5.518288437335318,6.449089336370932,0.038274495232257025,NA
North Dumfries,Township,Active transportation,155,4.447632711621234,3.2104567517967135,6.1313633831395435,0.15970307948891638,NA
North Dumfries,Township,"Car, truck or van",3260,93.54375896700144,91.93755941985839,94.84790319817539,0.007608961592121993,NA
North Dumfries,Township,Public transit,NA,NA,NA,NA,0.6638702558975988,F
Waterloo,City,Active transportation,2215,7.366145660126372,6.7922881607188605,7.984333280998652,0.03970616891224031,NA
Waterloo,City,"Car, truck or van",25035,83.25573661456602,82.07607818554901,84.37253873692194,0.006771432891494521,NA
Waterloo,City,Public transit,1960,6.518124376454939,5.913821043261501,7.179466366753141,0.04763032607393966,NA
Wellesley,Township,Active transportation,405,13.846153846153847,10.808353050600097,17.56957195565387,0.11981560362754229,NA
Wellesley,Township,"Car, truck or van",2390,81.7094017094017,78.77763846443239,84.31678641694918,0.01665450333283408,NA
Wellesley,Township,Public transit,0,0,NA,NA,NA,NA
Wilmot,Township,Active transportation,300,4.6875,3.583160169072983,6.110629307566065,0.13152873760517148,NA
Wilmot,Township,"Car, truck or van",5960,93.125,85.96863942462377,96.76862275910504,0.027485186370095126,NA
Wilmot,Township,Public transit,NA,NA,NA,NA,0.2490175742231108,E
Woolwich,Township,Active transportation,605,7.223880597014926,6.014968797991672,8.653393278705927,0.08945499311648122,NA
Woolwich,Township,"Car, truck or van",7560,90.26865671641791,88.46457733563007,91.81668739872606,0.009103224907675773,NA
Woolwich,Township,Public transit,NA,NA,NA,NA,0.33278532561886487,E
