offence_group,ucr_code,violation,region,year,incidents,incidents_per_100k,base_year,index
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,1998,37302,123.69,1998,100
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,1999,37501,123.34,1998,99.71703452178835
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2000,40686,132.58,1998,107.18732314657613
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2001,43094,138.93,1998,112.3211253941305
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2002,43793,139.67,1998,112.91939526234943
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2003,45222,142.93,1998,115.5550165736923
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2004,46643,146.03,1998,118.06128223785271
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2005,50356,156.17,1998,126.25919637804186
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2006,53357,163.82,1998,132.44401325895382
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2007,54788,166.59,1998,134.68348290080039
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2008,54826,164.91,1998,133.32524860538444
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2009,53383,158.74,1998,128.33697146091035
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2010,51955,152.79,1998,123.52655833131215
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2011,50431,146.86,1998,118.73231465761178
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2012,49807,143.48,1998,115.99967661088203
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2013,46019,131.17,1998,106.04737650578058
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2014,45096,127.26,1998,102.88624787775893
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2015,47388,132.73,1998,107.30859406580969
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2016,49945,138.31,1998,111.81987226129841
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2017,52140,142.67,1998,115.34481364702076
Assaults,1420,Assault with a weapon or causing bodily harm,Canada,2018,54218,146.25,1998,118.2391462527286
