year,region,csi,csi_violent
1998,Canada,118.84,97.8
1999,Canada,111.24,99.36
2000,Canada,106.73,97.79
2001,Canada,105.3,97.2
2002,Canada,104.14,96.2
2003,Canada,106.84,97.56
2004,Canada,104.11,96.01
2005,Canada,101.33,98.52
2006,Canada,100,100
2007,Canada,95.28,97.78
2008,Canada,90.57,95.07
2009,Canada,87.77,94.29
2010,Canada,82.94,89.22
2011,Canada,77.61,85.72
2012,Canada,75.51,81.95
2013,Canada,68.92,74.02
2014,Canada,66.9,70.71
2015,Canada,70.39,75.34
2016,Canada,72.01,76.88
2017,Canada,73.6,81.27
2018,Canada,75.6,83.54
2019,Canada,79.72,90.24
2020,Canada,73.92,87.99
2021,Canada,74.87,93.4
2022,Canada,78.74,99.03
2023,Canada,81.27,101.01
2024,Canada,78.84,101.42
2025,Canada,75.01,97.19
1998,Ontario,100.72,84.54
1999,Ontario,92.31,83.19
2000,Ontario,89.04,84.73
2001,Ontario,86.54,84.77
2002,Ontario,84.54,82.19
2003,Ontario,83.15,81.47
2004,Ontario,78.2,79.12
2005,Ontario,76.96,83.39
2006,Ontario,78.57,86.66
2007,Ontario,74.5,85.95
2008,Ontario,70.94,82.07
2009,Ontario,69.3,81.89
2010,Ontario,65.58,77.89
2011,Ontario,61.17,72.71
2012,Ontario,59.04,70.03
2013,Ontario,52.58,61.91
2014,Ontario,49.93,57.86
2015,Ontario,51.05,59.98
2016,Ontario,53.29,64.6
2017,Ontario,56.32,69.79
2018,Ontario,60.32,74.41
2019,Ontario,60.87,75.27
2020,Ontario,55.41,69.5
2021,Ontario,56.04,72.69
2022,Ontario,58.77,78.53
2023,Ontario,61.51,79.74
2024,Ontario,60.95,82.04
2025,Ontario,57.17,74.91
1998,Waterloo Region,100.38,72.88
1999,Waterloo Region,92.62,60.74
2000,Waterloo Region,86.74,66.01
2001,Waterloo Region,80.14,57.7
2002,Waterloo Region,80.82,54.11
2003,Waterloo Region,77.99,56.14
2004,Waterloo Region,83.66,71.68
2005,Waterloo Region,77.9,61.92
2006,Waterloo Region,79.4,72.23
2007,Waterloo Region,71.1,67
2008,Waterloo Region,68.78,61.06
2009,Waterloo Region,74.26,65.84
2010,Waterloo Region,68.39,69.92
2011,Waterloo Region,63.74,71.4
2012,Waterloo Region,59.19,61.9
2013,Waterloo Region,57.23,57.72
2014,Waterloo Region,55.54,51.29
2015,Waterloo Region,60.31,55.32
2016,Waterloo Region,60.48,59.56
2017,Waterloo Region,69.11,73.04
2018,Waterloo Region,73.77,79.96
2019,Waterloo Region,73.16,87.51
2020,Waterloo Region,74.79,84.99
2021,Waterloo Region,76.25,84.69
2022,Waterloo Region,78.86,97.99
2023,Waterloo Region,75.81,92.81
2024,Waterloo Region,73.13,91.32
2025,Waterloo Region,66.82,85.09
