year,ucr_code,violation,base_year,incidents,incidents_per_100k,index
1998,135,Assaults against a peace officer,1998,48,11.13,100
1999,135,Assaults against a peace officer,1998,68,15.49,139.17340521114104
2000,135,Assaults against a peace officer,1998,75,16.74,150.4043126684636
2001,135,Assaults against a peace officer,1998,38,8.33,74.84276729559748
2002,135,Assaults against a peace officer,1998,33,7.11,63.881401617250674
2003,135,Assaults against a peace officer,1998,16,3.4,30.54806828391734
2004,135,Assaults against a peace officer,1998,123,25.57,229.73944294699012
2005,135,Assaults against a peace officer,1998,117,23.92,214.91464510332437
2006,135,Assaults against a peace officer,1998,87,17.45,156.7834681042228
2007,135,Assaults against a peace officer,1998,105,20.88,187.60107816711587
2008,135,Assaults against a peace officer,1998,83,16.33,146.7205750224618
2009,135,Assaults against a peace officer,1998,85,16.59,149.0566037735849
2010,135,Assaults against a peace officer,1998,93,17.96,161.36567834681043
2011,135,Assaults against a peace officer,1998,97,18.52,166.39712488769092
2012,135,Assaults against a peace officer,1998,87,16.45,147.79874213836476
2013,135,Assaults against a peace officer,1998,100,18.76,168.55345911949686
2014,135,Assaults against a peace officer,1998,79,14.71,132.1653189577718
2015,135,Assaults against a peace officer,1998,94,17.34,155.79514824797843
2016,135,Assaults against a peace officer,1998,112,20.24,181.85085354896674
2017,135,Assaults against a peace officer,1998,131,23.16,208.0862533692722
2018,135,Assaults against a peace officer,1998,139,23.96,215.27403414195865
2019,135,Assaults against a peace officer,1998,112,18.84,169.2722371967655
2020,135,Assaults against a peace officer,1998,110,18.12,162.8032345013477
2021,135,Assaults against a peace officer,1998,115,18.72,168.1940700808625
2022,135,Assaults against a peace officer,1998,181,28.31,254.3575920934411
2023,135,Assaults against a peace officer,1998,173,25.61,230.0988319856244
2024,135,Assaults against a peace officer,1998,112,15.78,141.7789757412399
2025,135,Assaults against a peace officer,1998,145,20.38,183.10871518418685
1998,140,Other assaults,1998,72,16.7,100
1999,140,Other assaults,1998,56,12.75,76.34730538922156
2000,140,Other assaults,1998,52,11.61,69.52095808383233
2001,140,Other assaults,1998,71,15.56,93.17365269461078
2002,140,Other assaults,1998,64,13.79,82.57485029940119
2003,140,Other assaults,1998,80,17.01,101.85628742514972
2004,140,Other assaults,1998,18,3.74,22.395209580838326
2005,140,Other assaults,1998,25,5.11,30.598802395209585
2006,140,Other assaults,1998,53,10.63,63.65269461077845
2007,140,Other assaults,1998,74,14.72,88.14371257485031
2008,140,Other assaults,1998,68,13.38,80.11976047904193
2009,140,Other assaults,1998,106,20.69,123.8922155688623
2010,140,Other assaults,1998,88,17,101.79640718562875
2011,140,Other assaults,1998,84,16.04,96.04790419161677
2012,140,Other assaults,1998,72,13.62,81.55688622754491
2013,140,Other assaults,1998,88,16.5,98.80239520958084
2014,140,Other assaults,1998,73,13.59,81.37724550898204
2015,140,Other assaults,1998,73,13.47,80.65868263473055
2016,140,Other assaults,1998,97,17.53,104.97005988023953
2017,140,Other assaults,1998,113,19.98,119.64071856287426
2018,140,Other assaults,1998,129,22.24,133.17365269461078
2019,140,Other assaults,1998,87,14.63,87.60479041916169
2020,140,Other assaults,1998,77,12.69,75.9880239520958
2021,140,Other assaults,1998,70,11.4,68.26347305389223
2022,140,Other assaults,1998,73,11.42,68.38323353293413
2023,140,Other assaults,1998,65,9.62,57.60479041916168
2024,140,Other assaults,1998,78,10.99,65.80838323353294
2025,140,Other assaults,1998,70,9.84,58.92215568862276
1998,1410,Aggravated assault,1998,26,6.03,100
1999,1410,Aggravated assault,1998,27,6.15,101.99004975124377
2000,1410,Aggravated assault,1998,24,5.36,88.8888888888889
2001,1410,Aggravated assault,1998,23,5.04,83.5820895522388
2002,1410,Aggravated assault,1998,27,5.82,96.51741293532339
2003,1410,Aggravated assault,1998,32,6.8,112.76948590381426
2004,1410,Aggravated assault,1998,31,6.44,106.79933665008292
2005,1410,Aggravated assault,1998,20,4.09,67.82752902155886
2006,1410,Aggravated assault,1998,43,8.63,143.11774461028193
2007,1410,Aggravated assault,1998,32,6.36,105.47263681592041
2008,1410,Aggravated assault,1998,37,7.28,120.7296849087894
2009,1410,Aggravated assault,1998,44,8.59,142.45439469320064
2010,1410,Aggravated assault,1998,37,7.15,118.5737976782753
2011,1410,Aggravated assault,1998,29,5.54,91.87396351575455
2012,1410,Aggravated assault,1998,25,4.73,78.44112769485905
2013,1410,Aggravated assault,1998,34,6.38,105.80431177446101
2014,1410,Aggravated assault,1998,33,6.14,101.82421227197345
2015,1410,Aggravated assault,1998,33,6.09,100.99502487562188
2016,1410,Aggravated assault,1998,27,4.88,80.92868988391376
2017,1410,Aggravated assault,1998,39,6.9,114.42786069651743
2018,1410,Aggravated assault,1998,33,5.69,94.3615257048093
2019,1410,Aggravated assault,1998,54,9.08,150.58043117744612
2020,1410,Aggravated assault,1998,39,6.43,106.6334991708126
2021,1410,Aggravated assault,1998,50,8.14,134.99170812603649
2022,1410,Aggravated assault,1998,45,7.04,116.74958540630183
2023,1410,Aggravated assault,1998,41,6.07,100.66334991708126
2024,1410,Aggravated assault,1998,30,4.23,70.1492537313433
2025,1410,Aggravated assault,1998,28,3.94,65.33996683250413
1998,1420,Assault with a weapon or causing bodily harm,1998,458,106.2,100
1999,1420,Assault with a weapon or causing bodily harm,1998,420,95.65,90.06591337099812
2000,1420,Assault with a weapon or causing bodily harm,1998,404,90.17,84.90583804143125
2001,1420,Assault with a weapon or causing bodily harm,1998,421,92.25,86.86440677966102
2002,1420,Assault with a weapon or causing bodily harm,1998,408,87.92,82.78719397363466
