year,ucr_code,violation,base_year,incidents,incidents_per_100k,index
2015,130,Sexual violations against children,2015,59,10.88,100
2016,130,Sexual violations against children,2015,122,22.05,202.66544117647055
2017,130,Sexual violations against children,2015,148,26.17,240.53308823529412
2018,130,Sexual violations against children,2015,178,30.68,281.9852941176471
2019,130,Sexual violations against children,2015,176,29.6,272.05882352941177
2020,130,Sexual violations against children,2015,180,29.66,272.6102941176471
2021,130,Sexual violations against children,2015,192,31.26,287.31617647058823
2022,130,Sexual violations against children,2015,174,27.22,250.18382352941174
2023,130,Sexual violations against children,2015,200,29.61,272.1507352941176
2024,130,Sexual violations against children,2015,251,35.35,324.9080882352941
2025,130,Sexual violations against children,2015,232,32.61,299.7242647058823
1998,1310,Aggravated sexual assault,1998,0,0,NA
1999,1310,Aggravated sexual assault,1998,0,0,NA
2000,1310,Aggravated sexual assault,1998,1,0.22,NA
2001,1310,Aggravated sexual assault,1998,0,0,NA
2002,1310,Aggravated sexual assault,1998,0,0,NA
2003,1310,Aggravated sexual assault,1998,1,0.21,NA
2004,1310,Aggravated sexual assault,1998,2,0.42,NA
2005,1310,Aggravated sexual assault,1998,0,0,NA
2006,1310,Aggravated sexual assault,1998,2,0.4,NA
2007,1310,Aggravated sexual assault,1998,2,0.4,NA
2008,1310,Aggravated sexual assault,1998,2,0.39,NA
2009,1310,Aggravated sexual assault,1998,1,0.2,NA
2010,1310,Aggravated sexual assault,1998,4,0.77,NA
2011,1310,Aggravated sexual assault,1998,2,0.38,NA
2012,1310,Aggravated sexual assault,1998,3,0.57,NA
2013,1310,Aggravated sexual assault,1998,0,0,NA
2014,1310,Aggravated sexual assault,1998,0,0,NA
2015,1310,Aggravated sexual assault,1998,1,0.18,NA
2016,1310,Aggravated sexual assault,1998,0,0,NA
2017,1310,Aggravated sexual assault,1998,1,0.18,NA
2018,1310,Aggravated sexual assault,1998,4,0.69,NA
2019,1310,Aggravated sexual assault,1998,1,0.17,NA
2020,1310,Aggravated sexual assault,1998,2,0.33,NA
2021,1310,Aggravated sexual assault,1998,3,0.49,NA
2022,1310,Aggravated sexual assault,1998,0,0,NA
2023,1310,Aggravated sexual assault,1998,3,0.44,NA
2024,1310,Aggravated sexual assault,1998,2,0.28,NA
2025,1310,Aggravated sexual assault,1998,0,0,NA
1998,1320,Sexual assault with a weapon or causing bodily harm,1998,2,0.46,100
1999,1320,Sexual assault with a weapon or causing bodily harm,1998,5,1.14,247.8260869565217
2000,1320,Sexual assault with a weapon or causing bodily harm,1998,2,0.45,97.82608695652173
2001,1320,Sexual assault with a weapon or causing bodily harm,1998,1,0.22,47.826086956521735
2002,1320,Sexual assault with a weapon or causing bodily harm,1998,2,0.43,93.4782608695652
2003,1320,Sexual assault with a weapon or causing bodily harm,1998,1,0.21,45.65217391304348
2004,1320,Sexual assault with a weapon or causing bodily harm,1998,1,0.21,45.65217391304348
2005,1320,Sexual assault with a weapon or causing bodily harm,1998,1,0.2,43.47826086956522
2006,1320,Sexual assault with a weapon or causing bodily harm,1998,1,0.2,43.47826086956522
2007,1320,Sexual assault with a weapon or causing bodily harm,1998,6,1.19,258.69565217391306
2008,1320,Sexual assault with a weapon or causing bodily harm,1998,3,0.59,128.26086956521738
2009,1320,Sexual assault with a weapon or causing bodily harm,1998,5,0.98,213.04347826086953
2010,1320,Sexual assault with a weapon or causing bodily harm,1998,1,0.19,41.30434782608695
2011,1320,Sexual assault with a weapon or causing bodily harm,1998,7,1.34,291.30434782608694
2012,1320,Sexual assault with a weapon or causing bodily harm,1998,2,0.38,82.6086956521739
2013,1320,Sexual assault with a weapon or causing bodily harm,1998,0,0,0
2014,1320,Sexual assault with a weapon or causing bodily harm,1998,5,0.93,202.17391304347828
2015,1320,Sexual assault with a weapon or causing bodily harm,1998,0,0,0
2016,1320,Sexual assault with a weapon or causing bodily harm,1998,2,0.36,78.26086956521738
2017,1320,Sexual assault with a weapon or causing bodily harm,1998,4,0.71,154.3478260869565
2018,1320,Sexual assault with a weapon or causing bodily harm,1998,4,0.69,149.99999999999997
2019,1320,Sexual assault with a weapon or causing bodily harm,1998,10,1.68,365.2173913043478
2020,1320,Sexual assault with a weapon or causing bodily harm,1998,10,1.65,358.695652173913
2021,1320,Sexual assault with a weapon or causing bodily harm,1998,14,2.28,495.6521739130434
2022,1320,Sexual assault with a weapon or causing bodily harm,1998,12,1.88,408.695652173913
2023,1320,Sexual assault with a weapon or causing bodily harm,1998,13,1.92,417.39130434782606
2024,1320,Sexual assault with a weapon or causing bodily harm,1998,21,2.96,643.4782608695651
2025,1320,Sexual assault with a weapon or causing bodily harm,1998,20,2.81,610.8695652173913
1998,1330,Sexual assault,1998,288,66.78,100
1999,1330,Sexual assault,1998,316,71.96,107.75681341719077
2000,1330,Sexual assault,1998,348,77.67,116.30727762803235
2001,1330,Sexual assault,1998,313,68.59,102.71039233303385
2002,1330,Sexual assault,1998,298,64.22,96.1665169212339
2003,1330,Sexual assault,1998,280,59.54,89.15843066786464
2004,1330,Sexual assault,1998,281,58.41,87.46630727762803
2005,1330,Sexual assault,1998,246,50.3,75.32195268044323
2006,1330,Sexual assault,1998,244,48.95,73.3003893381252
2007,1330,Sexual assault,1998,244,48.52,72.6564839772387
2008,1330,Sexual assault,1998,273,53.71,80.4282719377059
2009,1330,Sexual assault,1998,335,65.37,97.88858939802336
2010,1330,Sexual assault,1998,308,59.49,89.08355795148249
2011,1330,Sexual assault,1998,335,63.97,95.79215333932315
2012,1330,Sexual assault,1998,302,57.12,85.53459119496854
2013,1330,Sexual assault,1998,295,55.33,82.85414794848757
2014,1330,Sexual assault,1998,343,63.85,95.61245882000598
2015,1330,Sexual assault,1998,313,57.74,86.46301287810722
2016,1330,Sexual assault,1998,280,50.61,75.78616352201257
2017,1330,Sexual assault,1998,410,72.5,108.56543875411799
2018,1330,Sexual assault,1998,481,82.91,124.15393830488168
2019,1330,Sexual assault,1998,595,100.07,149.85025456723568
2020,1330,Sexual assault,1998,443,72.99,109.29919137466307
2021,1330,Sexual assault,1998,481,78.3,117.25067385444743
2022,1330,Sexual assault,1998,552,86.35,129.30518119197362
2023,1330,Sexual assault,1998,519,76.84,115.06439053608865
2024,1330,Sexual assault,1998,558,78.59,117.68493560946392
2025,1330,Sexual assault,1998,508,71.4,106.91823899371069
