date,metric,value,holiday,year,month,month_num,year_month,day_of_week,type_of_day,weekend_holiday,covid_lockdown
2019-02-21,Avg Handle Time,120,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-21,Avg Queue Time,35,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-21,Avg Speed of Answer,33,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-21,Calls Abandoned,40,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-21,Calls Handled,394,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-21,Calls Presented,434,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-21,Max Handle Time,863,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-21,Max Queue Time,858,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-22,Avg Handle Time,126,FALSE,2019,Feb,2,2019-02-01,Fri,Weekday,FALSE,FALSE
2019-02-22,Avg Queue Time,43,FALSE,2019,Feb,2,2019-02-01,Fri,Weekday,FALSE,FALSE
2019-02-22,Avg Speed of Answer,41,FALSE,2019,Feb,2,2019-02-01,Fri,Weekday,FALSE,FALSE
2019-02-22,Calls Abandoned,32,FALSE,2019,Feb,2,2019-02-01,Fri,Weekday,FALSE,FALSE
2019-02-22,Calls Handled,363,FALSE,2019,Feb,2,2019-02-01,Fri,Weekday,FALSE,FALSE
2019-02-22,Calls Presented,395,FALSE,2019,Feb,2,2019-02-01,Fri,Weekday,FALSE,FALSE
2019-02-22,Max Handle Time,1022,FALSE,2019,Feb,2,2019-02-01,Fri,Weekday,FALSE,FALSE
2019-02-22,Max Queue Time,468,FALSE,2019,Feb,2,2019-02-01,Fri,Weekday,FALSE,FALSE
2019-02-23,Avg Handle Time,128,FALSE,2019,Feb,2,2019-02-01,Sat,Weekend,TRUE,FALSE
2019-02-23,Avg Queue Time,29,FALSE,2019,Feb,2,2019-02-01,Sat,Weekend,TRUE,FALSE
2019-02-23,Avg Speed of Answer,23,FALSE,2019,Feb,2,2019-02-01,Sat,Weekend,TRUE,FALSE
2019-02-23,Calls Abandoned,13,FALSE,2019,Feb,2,2019-02-01,Sat,Weekend,TRUE,FALSE
2019-02-23,Calls Handled,114,FALSE,2019,Feb,2,2019-02-01,Sat,Weekend,TRUE,FALSE
2019-02-23,Calls Presented,127,FALSE,2019,Feb,2,2019-02-01,Sat,Weekend,TRUE,FALSE
2019-02-23,Max Handle Time,728,FALSE,2019,Feb,2,2019-02-01,Sat,Weekend,TRUE,FALSE
2019-02-23,Max Queue Time,339,FALSE,2019,Feb,2,2019-02-01,Sat,Weekend,TRUE,FALSE
2019-02-24,Avg Handle Time,160,FALSE,2019,Feb,2,2019-02-01,Sun,Weekend,TRUE,FALSE
