date,year,month,year_month,day_of_week,holiday,weekend_or_holiday,calls_presented,avg_queue_time,max_queue_time,calls_handled,avg_speed_of_answer,avg_handle_time,max_handle_time,calls_abandoned,target_seconds,answered_within_target,abandoned_within_target,pct_handled_within_target,pct_within_target_excl_abandoned,pct_within_target_abandoned_positive,pct_answered_within_target,percentage_of_calls_handled,percentage_of_calls_abandoned
2019-03-01,2019,Mar,2019-03-01,Fri,FALSE,FALSE,342,31,464,312,29,108,951,30,30,254,21,81.4,79.1,80.4,74.3,91.2,8.8
2019-03-02,2019,Mar,2019-03-01,Sat,FALSE,TRUE,122,45,1811,114,43,95,309,8,30,91,4,79.8,77.1,77.9,74.6,93.4,6.6
2019-03-03,2019,Mar,2019-03-01,Sun,FALSE,TRUE,86,19,245,80,20,116,363,6,30,70,6,87.5,87.5,88.4,81.4,93,7
2019-03-04,2019,Mar,2019-03-01,Mon,FALSE,FALSE,292,9,363,283,8,83,645,9,30,280,8,98.9,98.6,98.6,95.9,96.9,3.1
2019-03-05,2019,Mar,2019-03-01,Tue,FALSE,FALSE,298,21,871,275,15,105,953,23,30,253,16,92,89.7,90.3,84.9,92.3,7.7
2019-03-06,2019,Mar,2019-03-01,Wed,FALSE,FALSE,282,17,441,263,16,94,688,19,30,239,12,90.9,88.5,89,84.8,93.3,6.7
2019-03-07,2019,Mar,2019-03-01,Thu,FALSE,FALSE,275,10,225,258,10,108,688,17,30,247,13,95.7,94.3,94.6,89.8,93.8,6.2
2019-03-08,2019,Mar,2019-03-01,Fri,FALSE,FALSE,251,15,216,234,14,118,798,17,30,217,12,92.7,90.8,91.2,86.5,93.2,6.8
2019-03-09,2019,Mar,2019-03-01,Sat,FALSE,TRUE,116,36,786,107,29,144,1356,9,30,90,5,84.1,81.1,81.9,77.6,92.2,7.8
2019-03-10,2019,Mar,2019-03-01,Sun,FALSE,TRUE,78,14,199,78,14,129,612,0,30,72,0,92.3,92.3,92.3,92.3,100,0
2019-03-11,2019,Mar,2019-03-01,Mon,FALSE,FALSE,380,29,513,354,27,117,1177,26,30,318,17,89.8,87.6,88.2,83.7,93.2,6.8
