accidentnum,accidentdate,accident_year,accident_month,accident_hour,accident_weekday,latitude,latitude_new,latitude_use,longitude,longitude_new,longitude_use,xcoord,ycoord,accidentlocation,classificationofaccident,impactlocation,initialimpacttype,trafficcontrol,pedestrianinvolved,cyclistinvolved,environmentcondition1,xmlimportnotes
15-000127,1/1/2015 12:00:00 AM,2015,1,0,Thursday,43.390668,43.390659512581294,43.390668,-80.479168,-80.47916429145073,-80.479168,542182.55309,4804330.06869,Intersection related,P.D. only,Off highway,SMV other,Stop sign,FALSE,FALSE,Clear,BRITTANIA CRES; WOODBINE AV; At
15-000229,1/1/2015 8:45:00 AM,2015,1,8,Thursday,43.434656,43.43464750180194,43.434656,-80.41561,-80.41560630754557,-80.41561,547295.88797,4809249.33611,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,MORRISON RD; 372 MORRISON RD ; At; 3 M
15-000477,1/1/2015 5:30:00 PM,2015,1,17,Thursday,0,43.45175033369199,43.45175033369199,0,-80.49241574766711,-80.49241574766711,541068,4811108,Other,P.D. only,Not on roadway - left side,SMV other,No control,FALSE,FALSE,Clear,ONTARIO ST S; JOSEPH ST; Near; 30 M
15-001276,1/2/2015 10:07:00 PM,2015,1,22,Friday,43.412599,43.41259050939095,43.412599,-80.491859,-80.49185528549064,-80.491859,541139.86385,4806759.30511,At intersection,P.D. only,Within intersection,SMV other,Stop sign,FALSE,FALSE,Clear,BLOCK LINE RD; LAURENTIAN DR; 2 M
15-001486,1/3/2015 9:27:00 AM,2015,1,9,Saturday,43.449443,43.44943450285208,43.449443,-80.491115,-80.4911112823318,-80.491115,541175.11382,4810851.45391,Non intersection,P.D. only,Not on roadway - right side,SMV other,No control,FALSE,FALSE,Clear,ONTARIO ST S; CHARLES ST W; Near; 10 M
15-001955,1/3/2015 10:34:00 PM,2015,1,22,Saturday,43.376709,43.37670051368491,43.376709,-80.451559,-80.45155530139893,-80.451559,544428.8057,4802794.17127,Non intersection,Non-fatal injury,Not on roadway - right side,SMV other,No control,FALSE,FALSE,Rain,CARYNDALE DR ; STAUFFER DR ; Near; 190 M
15-002027,1/4/2015 1:12:00 AM,2015,1,1,Sunday,43.422358,43.422349510193214,43.422358,-80.545635,-80.54563126755357,-80.545635,536780.1979,4807817.97403,Intersection related,P.D. only,Right shoulder,SMV other,No control,FALSE,FALSE,Freezing Rain,ROLLING MEADOWS DR ; NEWBURY DR; Near; 20 M
15-002809,1/5/2015 8:05:00 AM,2015,1,8,Monday,43.458336,43.45832749920611,43.458336,-80.447091,-80.44708729543873,-80.447091,544730.62558,4811861.78659,At intersection,Non-fatal injury,Thru lane,SMV other,No control,TRUE,FALSE,Snow,LORRAINE AVE ; CARSON DR
15-002821,1/5/2015 8:20:00 AM,2015,1,8,Monday,43.432541,43.43253250685299,43.432541,-80.512646,-80.51264227712991,-80.512646,539443.97832,4808963.95073,At/near private drive,P.D. only,Thru lane,Turning movement,No control,FALSE,FALSE,Drifting Snow,QUEENS BV; 1283 QUEENS BV; 2 M
15-002887,1/5/2015 9:54:00 AM,2015,1,9,Monday,43.409416,43.409407507481525,43.409416,-80.440811,-80.4408073018392,-80.440811,545275.13378,4806432.26803,Non intersection,P.D. only,Thru lane,Approaching,No control,FALSE,FALSE,Strong wind,WABANAKI DR; WILSON AV; 30 M
15-003315,1/5/2015 7:00:00 PM,2015,1,19,Monday,43.431199,43.43119050877856,43.431199,-80.548159,-80.54815526602533,-80.548159,536570.56236,4808798.7165,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Drifting Snow,LAUREL SPRINGS CRT; LAUREL SPRINGS CRT ; At; 0 M
15-003455,1/6/2015 2:42:00 AM,2015,1,2,Tuesday,43.434256,43.43424750700273,43.434256,-80.521553,-80.52154927416424,-80.521553,538722.0019,4809150.23623,At intersection,P.D. only,Not on roadway - right side,SMV other,Stop sign,FALSE,FALSE,Clear,HIGHLAND CR; WYCLIFFE PL; At
15-003912,1/5/2015 6:15:00 PM,2015,1,18,Monday,43.459981,43.45997250070905,43.459981,-80.484256,-80.48425228363043,-80.484256,541722.84301,4812025.18946,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Snow,MAJOR ST
15-004080,1/6/2015 9:54:00 PM,2015,1,21,Tuesday,43.445464,43.44545550473849,43.445464,-80.515251,-80.51524727516157,-80.515251,539224.79508,4810397.91144,Non intersection,Non-fatal injury,Not on roadway - right side,SMV other,No control,FALSE,FALSE,Snow,BRYBECK CRES; KARN ST ; At; 10 M
15-004245,1/7/2015 8:30:00 AM,2015,1,8,Wednesday,43.407439,43.40743050616322,43.407439,-80.406567,-80.40656331284234,-80.406567,548049.27259,4806231.8746,At/near private drive,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Clear,DEER RIDGE DR; MASTER CT
15-004307,1/7/2015 10:08:00 AM,2015,1,10,Wednesday,43.456872,43.45686350107911,43.456872,-80.48079,-80.48078628500438,-80.48079,542005.38722,4811681.65375,Intersection related,P.D. only,Not on roadway - right side,SMV other,No control,FALSE,FALSE,Snow,PEQUEGNAT AVE ; MANSION ST ; Near; 3 M
15-004313,1/7/2015 10:17:00 AM,2015,1,10,Wednesday,43.415899,43.41589050821088,43.415899,-80.479873,-80.47986928897468,-80.479873,542107.97609,4807131.77642,At intersection,P.D. only,Within intersection,Angle,Traffic signal,FALSE,FALSE,Snow,STRASBURG RD; BLOCK LINE RD ; At; M
15-004388,1/7/2015 11:35:00 AM,2015,1,11,Wednesday,43.396404,43.39639551076765,43.396404,-80.462028,-80.4620242963583,-80.462028,543566.61662,4804975.89883,At intersection,P.D. only,Within intersection,Angle,Traffic signal,FALSE,FALSE,Clear,HURON RD; BATTLER RD; At
15-004402,1/7/2015 11:54:00 AM,2015,1,11,Wednesday,43.43638,43.436371505277585,43.43638,-80.493568,-80.49356428279215,-80.493568,540985.45455,4809399.50489,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,SENECA DR; 29 SENECA DR ; 1 M
15-004413,1/7/2015 12:12:00 PM,2015,1,12,Wednesday,43.458722,43.458713500962624,43.458722,-80.486418,-80.48641428299335,-80.486418,541548.80392,4811884.28741,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Strong wind,ST LEGER ST ; BREITHAUPT ST ; At
15-004424,1/7/2015 9:54:00 AM,2015,1,9,Wednesday,43.497084,43.4970754938438,43.497084,-80.478097,-80.4780932822499,-80.478097,542195.26585,4816148.87262,At/near private drive,Non-fatal injury,Thru lane,Other,No control,FALSE,FALSE,Clear,REDTAIL ST
15-004595,1/7/2015 5:30:00 AM,2015,1,5,Wednesday,43.437621,43.43761250497433,43.437621,-80.492783,-80.49277928289845,-80.492783,541048.14518,4809537.71306,At/near private drive,P.D. only,Thru lane,Sideswipe,No control,FALSE,FALSE,Strong wind,DELAWARE AV; Near
15-004831,1/7/2015 10:30:00 PM,2015,1,22,Wednesday,43.401135,43.401126510218724,43.401135,-80.468077,-80.46807329403146,-80.468077,543073.40135,4805498.16393,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,TRILLIUM DR; STRASBURG RD
15-005275,1/8/2015 2:15:00 PM,2015,1,14,Thursday,43.468193,43.4681844996943,43.468193,-80.493443,-80.49343927992678,-80.493443,540974.08756,4812932.63339,Non intersection,P.D. only,Not on roadway - right side,SMV other,Stop sign,FALSE,FALSE,Clear,OAKWOOD AV; RIDGEWOOD AV; At; 3 M
