school_name,address,latitude,longitude
Abraham Erb Public School,710 Laurelwood Dr Waterloo ON N2V 2V3,43.470070449999994,-80.59776017234205
Alpine Public School,75 Lucerne Dr Kitchener ON N2E 1B4,43.420092600000004,-80.48073988317654
Avenue Road Public School,40 Gail St Cambridge ON N1R 4M2,43.379614000000004,-80.31332969056882
Ayr Public School,105 Hall St Ayr ON N0B 1E0,43.289214650000005,-80.44972557791111
Baden Public School,155 Livingston Blvd Baden ON N3A 4M6,43.4083227,-80.67258071800737
Blair Outdoor and Environmental Education Centre,82 Meadowcreek Lane Cambridge ON N3H 4R8,43.380462,-80.389513
Blair Road Public School,85 Sunset Blvd Cambridge ON N1S 1A9,43.37208525,-80.32773392901953
Blessed Sacrament,"367 The Country Way Kitchener, ON N2E 2S3",43.407401,-80.48360968785599
Blue Heron Public School,749 Grand Valley Dr Cambridge ON N3H 2S3,43.3911562,-80.33435859496367
Bluevale Collegiate Institute,80 Bluevale St N Waterloo ON N2J 3R5,43.4750123,-80.49887620042611
Breslau Public School,58 Joseph St Breslau ON N0B 1M0,43.47732175,-80.41742416224011
Bridgeport Public School,59 Bridge St W Kitchener ON N2K 1K6,43.48279435,-80.48666451523832
Brigadoon Public School,415 Caryndale Dr Kitchener ON N2R 1J7,43.38474885,-80.45538689508561
Cameron Heights Collegiate Institute,301 Charles St E Kitchener ON N2G 2P8,43.4444278,-80.48169635843578
Camp Heidelberg Outdoor and Environmental Education Centre,2001 Kressler Rd Waterloo ON N2J 3Z4,43.49305465672169,-80.62374141454877
Canadian Martyrs,"50 Confederation Drive Kitchener, ON N2B 2X5",43.461903899999996,-80.44667797642393
Cedar Creek Public School,55 Hilltop Dr Ayr ON N0B 1E0,43.283817600000006,-80.44010980827282
Cedarbrae Public School,230 Cedarbrae Ave Waterloo ON N2L 4S7,43.48772775,-80.55203055717396
Centennial Public School (Cambridge),100 Weaver St Cambridge ON N3C 1W4,43.42300795,-80.31846412523342
Centennial Public School (Waterloo),141 Amos Ave Waterloo ON N2L 2W8,43.46107695,-80.55281654380383
Central Public School,175 Main St Cambridge ON N1R 1W5,43.3572908,-80.3096071326677
Chalmers Street Public School,35 Chalmers St S Cambridge ON N1R 5B4,43.3521885,-80.29639866491466
Chicopee Hills Public School,300 Chicopee Hills Drive Kitchener ON N2A 0J6,43.4451825,-80.41411500815191
Choices for Youth Cambridge,60 McDonald Avenue Cambridge ON N2J 2A9,43.3473175,-80.30459132110093
Choices for Youth Waterloo,151 Weber St S Waterloo ON N1R 4J2,43.4643572,-80.5042809
Christ the King,"70 Acorn Way Cambridge, ON N1R 8M5",43.387053550000005,-80.30837624007106
Clemens Mill Public School,335 Saginaw Pky Cambridge ON N1T 1R6,43.389205950000004,-80.2919410647369
Conestogo Public School,1948 Sawmill Rd Conestogo ON N0B 1N0,43.542058850000004,-80.50800061413312
Coronation Public School,757 Concession Rd Cambridge ON N3H 4L1,43.3999908,-80.3448111934749
Country Hills Public School,195 Country Hill Dr Kitchener ON N2E 2G7,43.41335555,-80.4707269854407
Courtland Senior Public School,107 Courtland Ave E Kitchener ON N2G 2T9,43.4428724,-80.48902349891235
Crestview Public School,153 Montcalm Dr Kitchener ON N2B 2R6,43.4540155,-80.44196626374642
Doon Public School,1401 Doon Village Rd Kitchener ON N2P 1A8,43.38714255,-80.42078687802726
Driftwood Park Public School,50 Parkland Cres Kitchener ON N2N 1S4,43.41490885,-80.53682872984814
Eastwood Collegiate Institute,760 Weber St E Kitchener ON N2H 1H6,43.43921975,-80.45894365959595
Edna Staebler Public School,450 Bernay Dr Waterloo ON N2T 3A3,43.451171200000005,-80.57724672509676
Elementary Remote Learning,51 Ardelt Ave Kitchener ON N2C 2R5,43.427243000000004,-80.47901195262389
Elgin Street Public School,685 Elgin St N Cambridge ON N1R 7W6,43.3858149,-80.31198426707873
Elizabeth Ziegler Public School,90 Moore Ave S Waterloo ON N2J 1X2,43.4652466,-80.51189465219767
Elmira District Secondary School,4 University Ave Elmira ON N3B 1K2,43.5941196,-80.56282493010877
Empire Public School,83 Empire St Waterloo ON N2L 2M1,43.45498905,-80.53403086129738
Essential Skills Upgrading,151 Weber St S Waterloo ON N2J 2A9,43.4643572,-80.5042809
Floradale Public School,35 Florapine Rd Floradale ON N3B 2Z1,43.63572845,-80.57554247016219
Forest Glen Public School,437 Waterloo St Hamburg ON N3A 1S9,43.3884096,-80.70951997814659
Forest Heights Collegiate Institute,255 Fischer-Hallman Rd Kitchener ON N2M 4X8,43.4252264,-80.52282822639316
Forest Hill Public School,255 Westmount Rd E Kitchener ON N2M 4Z2,43.42594295,-80.50654684887172
Franklin Public School,371 Franklin St N Kitchener ON N2A 1Y9,43.44404375,-80.44721852094926
Galt Collegiate Institute & Vocational School,200 Water St N Cambridge ON N1R 6V2,43.36962965,-80.31876878977911
Glencairn Public School,664 Erinbrook Dr Kitchener ON N2E 2R1,43.41048335,-80.49143732171149
Glenview Park Secondary School,55 McKay St Cambridge ON N1R 4G6,43.3459733,-80.30630424009135
Grand River Collegiate Institute,175 Indian Rd Kitchener ON N2B 2S7,43.45655415,-80.43678110602693
Grand View Public School (Cambridge),1144 Hamilton St Cambridge ON N3H 3G2,43.3905106,-80.35524229105368
Grandview Public School (New Hamburg),341 Huron St Hamburg ON N3A 1K4,43.374693475268195,-80.71638595413079
Groh Public School,225 Thomas Slee Drive Kitchener ON N2P 0B8,43.371899400000004,-80.439414460644
Hespeler Public School,300 Winston Blvd Cambridge ON N3C 3J6,43.42052065,-80.30482735657907
Highland Public School,125 Salisbury Ave Cambridge ON N1S 1J8,43.357527399999995,-80.32795520143762
Hillcrest Public School,31 Renwick Ave Cambridge ON N3C 2T5,43.43522945,-80.30016960195893
Hillside Public School,11 Chopin Dr Kitchener ON N2M 2G3,43.44231905,-80.52386793846287
Holy Family,"313 Huron Street, New Hamburg, ON N3A 1K3",43.3760963,-80.71376462366385
Holy Rosary,"485 Thorndale Drive Waterloo, ON N2T 1W5",43.4452235,-80.55379073311954
Holy Spirit,"15 Gatehouse Dr, Cambridge, ON N1P 1C7",43.34360385,-80.28076723868534
Howard Robertson Public School,130 Morgan Ave Kitchener ON N2A 2M5,43.430012500000004,-80.42953964214641
Huron Heights Secondary School,1825 Strasburg Rd Kitchener ON N2R 1S3,43.39407745,-80.46607334573369
Huron Natural Area Outdoor Environmental Education Centre,801 Trillium Drive Kitchener ON N2J 3Z4,43.3984278,-80.48194487503022
International & Indigenous Languages,151 Weber St S Waterloo ON N2J 2A9,43.4643572,-80.5042809
J F Carmichael Public School,80 Patricia Ave Kitchener ON N2M 1J3,43.4393139,-80.50437457598599
J W Gerth Public School,171 Apple Ridge Dr Kitchener ON N2P 0A1,43.3840899,-80.43943399368025
Jacob Hespeler Secondary School,355 Holiday Inn Dr Cambridge ON N3C 1Z2,43.41863765,-80.31734287576472
Janet Metcalfe Public School,335 Seabrook Drive Kitchener ON N2R 0G3,43.38591983964694,-80.49684739867091
Jean Steckle Public School,130 Woodbine Ave Kitchener ON N2R 1X7,43.38750873141032,-80.48523648777457
John Darling Public School,200 Rolling Meadows Dr Kitchener ON N2N 3G9,43.420092749999995,-80.54665349005109
John Mahood Junior Public School,5 1st St W Elmira ON N3B 1G1,43.591474399999996,-80.5632904685111
John Sweeney,"185 Activa Ave., Kitchener, ON N2E 4A1",43.4084771,-80.51255170681014
Keatsway Public School,323 Keats Way Waterloo ON N2L 5V9,43.4601098,-80.54571493646628
King Edward Public School,709 King St W Kitchener ON N2G 1E3,43.454233349999996,-80.50702386344551
Kitchener-Waterloo Collegiate & Vocational School,787 King St W Kitchener ON N2G 1E3,43.455582899999996,-80.50900287030169
Lackner Woods Public School,151 Zeller Dr Kitchener ON N2A 4H4,43.4523849,-80.41847735077803
Laurel Creek Conservation Area,525 Beaver Creek Road Waterloo ON N2R 1K4,43.4774316,-80.5865467
Laurel Heights Secondary School,650 Laurelwood Dr Waterloo ON N2V 2V1,43.471605249999996,-80.59546004561741
Laurelwood Public School,460 Brentcliffe Dr Waterloo ON N2T 2R5,43.46926455,-80.57489188210461
Laurentian Senior Public School,777 Westmount Rd E Kitchener ON N2E 1J2,43.4176059,-80.5027895793489
Lester B Pearson Public School,520 Chesapeake Dr Waterloo ON N2K 4G5,43.50688615,-80.50653116312972
Lexington Public School,431 Forestlawn Rd Waterloo ON N2K 2J5,43.501287399999995,-80.49672364327259
Lincoln Heights Public School,270 Quickfall Dr Waterloo ON N2J 3S9,43.4821721,-80.5083564519535
Linwood District Public School,50 Pine St Linwood ON N0B 2A0,43.5799045,-80.73273391293554
MacGregor Senior Public School,32 Central St Waterloo ON N2L 3A6,43.4706778,-80.52547478400803
Mackenzie King Public School,51 Natchez Rd Kitchener ON N2B 3A7,43.4657256,-80.44751310353621
Main Office,151 Weber St S Waterloo ON N2J 2A9,43.4643572,-80.5042809
Manchester Public School,455 Dundas St N Cambridge ON N1R 5R5,43.371420900000004,-80.31294966825442
Margaret Avenue Senior Public School,325 Louisa St Kitchener ON N2H 5N1,43.45960925,-80.48983037208485
Mary Johnston Public School,475 Brynhurst Blvd Waterloo ON N2T 2C6,43.458489549999996,-80.56362948746839
Meadowlane Public School,236 Forestwood Dr Kitchener ON N2N 1C1,43.4187273,-80.52701806685407
Millen Woods Public School,640 New Hampshire St Waterloo ON N2K 0A5,43.513493100000005,-80.50468481774448
Moffat Creek Public School,710 Myers Rd Cambridge ON N1P 0A8,43.346642849999995,-80.27546044862012
Monsignor Doyle Catholic Secondary School,"185 Myers Road Cambridge, ON N1R 7H2",43.3400036,-80.29782672304336
Monsignor R.M. Haller,"118 Shea Crescent Kitchener, ON N2E 1E8",43.4184178,-80.49277094587332
N A MacEachern Public School,580 Rolling Hills Dr Waterloo ON N2L 4Z9,43.4896835,-80.56184642966394
New Dundee Public School,1430 Bridge St Dundee ON N0B 2E0,43.35055875,-80.53239561632142
Night School,151 Weber St S Waterloo ON N2J 2A9,43.4643572,-80.5042809
Northlake Woods Public School,500 Northlake Dr Waterloo ON N2V 2A4,43.4962734,-80.56514619048835
Oak Creek Public School,80 Tartan Ave Kitchener ON N2R 0C1,43.381402466016695,-80.47962678554602
Our Lady of Fatima,"55 Hammet Street Cambridge, ON N3C 2H5",43.4328358,-80.29860234413258
Our Lady of Grace,"70 Gracefield Crescent Kitchener, ON N2E 1R9",43.41986505,-80.47863491141305
Our Lady of Lourdes,"55 Roslin Ave S Waterloo, ON N2L 6N5",43.4585148,-80.52994615565873
Park Manor Senior Public School,18 Mockingbird Dr Elmira ON N3B 1T1,43.5878918,-80.57122759886875
Parkway Public School,436 Preston Pky Cambridge ON N3H 5C7,43.3963125,-80.3787031928407
Pioneer Park Public School,55 Upper Canada Dr Kitchener ON N2P 1G2,43.3967845,-80.44372428192447
Preston High School,550 Rose St Cambridge ON N3H 2E6,43.390847699999995,-80.36680280318495
Preston Public School,210 Westminster Dr N Cambridge ON N3H 5C8,43.3978391,-80.35787687313746
Prueter Public School,40 Prueter Ave Kitchener ON N2H 6G6,43.46897535,-80.4911172091114
Queen Elizabeth Public School,191 Hoffman St Kitchener ON N2M 3N2,43.4301204,-80.4855199588219
Queensmount Senior Public School,21 Westmount Rd W Kitchener ON N2M 1R6,43.433722149999994,-80.51125766489162
Resurrection Catholic Secondary School,"455 University Ave. W, Kitchener, ON N2N 3B9",43.43957025,-80.54613569108241
Riverside Public School,250 William St Elmira ON N3B 0B9,43.6050983,-80.57025179009779
Rockway Public School,70 Vanier Dr Kitchener ON N2C 1J5,43.4287303,-80.46336958478244
Rosemount School,175 Indian Rd Kitchener ON N2B 2S7,43.45655415,-80.43678110602693
Saginaw Public School,740 Saginaw Pky Cambridge ON N1T 1V6,43.39357475,-80.27893711349775
Saint John Paul II,"75 Pebblecreek Drive Kitchener, ON N2A 4K1",43.4489905,-80.41183658143837
Saint Teresa of Avila,"69 1st Street West Elmira, ON N3B 1G5",43.59192495,-80.57132836048699
Sandhills Public School,1250 Victoria St S Kitchener ON N2N 3J2,43.4327259,-80.54390469177656
Sandowne Public School,265 Sandowne Dr Waterloo ON N2K 2C1,43.491795499999995,-80.50647181334892
Sheppard Public School,278 Weber St E Kitchener ON N2H 1G2,43.44701135,-80.47184812876462
Silverheights Public School,390 Scott Rd Cambridge ON N3C 3Z7,43.4418766,-80.31622101058673
Sir Adam Beck Public School,1140 Snyder's Rd W Baden ON N3A 0A8,43.402442750000006,-80.6865819034855
Sir Edgar Bauer,"660 Glen Forrest Blvd., Waterloo, ON N2L 4K2",43.49142235,-80.55460235000001
Smithson Public School,150 Belleview Ave Kitchener ON N2B 1G7,43.4545164,-80.46165275367684
Southridge Public School,1425 Queen's Blvd Kitchener ON N2M 5B3,43.4291513,-80.51851283923051
Southwood Secondary School,30 Southwood Dr Cambridge ON N1S 4K3,43.3490697,-80.33755738009097
St Andrew's Senior Public School,65 Victoria Ave Cambridge ON N1S 1X2,43.35057155,-80.32173645150897
St Jacobs Public School,72 Queensway Dr Jacobs ON N0B 2N0,43.53712955,-80.55584758351107
St. Agnes,"254 Neilson Avenue Waterloo, ON N2J 2M3",43.4741815,-80.50231916927908
St. Aloysius,"504 Connaught Street Kitchener, ON N2C 1C2",43.42893205,-80.44560320272623
St. Anne Camb,"127 Elgin St. N., Cambridge, ON N1R 5H6",43.36534015,-80.2990813710108
St. Anne Kit,"250 East Avenue Kitchener, ON N2H 1Z4",43.451203899999996,-80.47018390136591
St. Augustine,"177 Bismark Drive Cambridge, ON N1S 4Y2",43.36948045,-80.33574853705522
St. Benedict Catholic Secondary School,"50 Saginaw Parkway Cambridge, ON N1R 5W1",43.39306555,-80.30035634773316
St. Bernadette,"245 Lorne Ave., Kitchener, ON N2M 3Y9",43.434059899999994,-80.49142270283606
St. Boniface,"225 Starlight Ave, Breslau, ON N0B 1M0",43.47153428027634,-80.4151057967668
St. Brigid,"50 Broom St., Ayr, ON N0B 1E0",43.29017435,-80.46049101841237
St. Clement,"3639 Lobsinger Line St. Clements, ON N0B 2M0",43.523812649999996,-80.65251205088876
St. Daniel,"39 Midland Drive Kitchener, ON N2A 2A9",43.4483141,-80.4478973273295
St. David Catholic Secondary School,"4 High Street Waterloo, ON N2L 3X5",43.4840832,-80.5306499426659
St. Dominic Savio,"3 Westforest Trail Kitchener, ON N2N 3A6",43.433836549999995,-80.54042064982094
St. Elizabeth,"50 Adler Drive Cambridge, ON N3C 4B7",43.426367400000004,-80.29064816141667
