school_name,address,latitude,longitude,school_day_type,time_window,pedestrian_collisions,cyclist_collisions,other_collisions,total_collisions
Alpine Public School,75 Lucerne Dr Kitchener ON N2E 1B4,43.4200926,-80.48073988317654,Regular School Day,btw_6am_6pm,0,0,13,13
Alpine Public School,75 Lucerne Dr Kitchener ON N2E 1B4,43.4200926,-80.48073988317654,Regular School Day,btw_7am_5pm,0,0,11,11
Alpine Public School,75 Lucerne Dr Kitchener ON N2E 1B4,43.4200926,-80.48073988317654,Regular School Day,btw_8am_4pm,0,0,10,10
Blessed Sacrament,"367 The Country Way Kitchener, ON N2E 2S3",43.407401,-80.48360968785599,Regular School Day,btw_6am_6pm,0,0,5,5
Blessed Sacrament,"367 The Country Way Kitchener, ON N2E 2S3",43.407401,-80.48360968785599,Regular School Day,btw_7am_5pm,0,0,4,4
Blessed Sacrament,"367 The Country Way Kitchener, ON N2E 2S3",43.407401,-80.48360968785599,Regular School Day,btw_8am_4pm,0,0,1,1
Bridgeport Public School,59 Bridge St W Kitchener ON N2K 1K6,43.48279435,-80.48666451523832,Regular School Day,btw_6am_6pm,0,0,4,4
Bridgeport Public School,59 Bridge St W Kitchener ON N2K 1K6,43.48279435,-80.48666451523832,Regular School Day,btw_7am_5pm,0,0,3,3
Bridgeport Public School,59 Bridge St W Kitchener ON N2K 1K6,43.48279435,-80.48666451523832,Regular School Day,btw_8am_4pm,0,0,3,3
Brigadoon Public School,415 Caryndale Dr Kitchener ON N2R 1J7,43.38474885,-80.45538689508561,Lockdown School Day,btw_6am_6pm,0,0,1,1
Brigadoon Public School,415 Caryndale Dr Kitchener ON N2R 1J7,43.38474885,-80.45538689508561,Lockdown School Day,btw_7am_5pm,0,0,1,1
Brigadoon Public School,415 Caryndale Dr Kitchener ON N2R 1J7,43.38474885,-80.45538689508561,Lockdown School Day,btw_8am_4pm,0,0,1,1
Brigadoon Public School,415 Caryndale Dr Kitchener ON N2R 1J7,43.38474885,-80.45538689508561,Regular School Day,btw_6am_6pm,0,0,6,6
Brigadoon Public School,415 Caryndale Dr Kitchener ON N2R 1J7,43.38474885,-80.45538689508561,Regular School Day,btw_7am_5pm,0,0,6,6
Brigadoon Public School,415 Caryndale Dr Kitchener ON N2R 1J7,43.38474885,-80.45538689508561,Regular School Day,btw_8am_4pm,0,0,5,5
Cameron Heights Collegiate Institute,301 Charles St E Kitchener ON N2G 2P8,43.4444278,-80.48169635843578,Lockdown School Day,btw_6am_6pm,0,0,2,2
Cameron Heights Collegiate Institute,301 Charles St E Kitchener ON N2G 2P8,43.4444278,-80.48169635843578,Lockdown School Day,btw_7am_5pm,0,0,2,2
Cameron Heights Collegiate Institute,301 Charles St E Kitchener ON N2G 2P8,43.4444278,-80.48169635843578,Lockdown School Day,btw_8am_4pm,0,0,1,1
Cameron Heights Collegiate Institute,301 Charles St E Kitchener ON N2G 2P8,43.4444278,-80.48169635843578,Regular School Day,btw_6am_6pm,0,4,30,34
Cameron Heights Collegiate Institute,301 Charles St E Kitchener ON N2G 2P8,43.4444278,-80.48169635843578,Regular School Day,btw_7am_5pm,0,3,28,31
Cameron Heights Collegiate Institute,301 Charles St E Kitchener ON N2G 2P8,43.4444278,-80.48169635843578,Regular School Day,btw_8am_4pm,0,3,23,26
Canadian Martyrs,"50 Confederation Drive Kitchener, ON N2B 2X5",43.4619039,-80.44667797642393,Lockdown School Day,btw_6am_6pm,0,0,1,1
Canadian Martyrs,"50 Confederation Drive Kitchener, ON N2B 2X5",43.4619039,-80.44667797642393,Lockdown School Day,btw_7am_5pm,0,0,1,1
Canadian Martyrs,"50 Confederation Drive Kitchener, ON N2B 2X5",43.4619039,-80.44667797642393,Lockdown School Day,btw_8am_4pm,0,0,1,1
Canadian Martyrs,"50 Confederation Drive Kitchener, ON N2B 2X5",43.4619039,-80.44667797642393,Regular School Day,btw_6am_6pm,0,0,1,1
Canadian Martyrs,"50 Confederation Drive Kitchener, ON N2B 2X5",43.4619039,-80.44667797642393,Regular School Day,btw_7am_5pm,0,0,1,1
Canadian Martyrs,"50 Confederation Drive Kitchener, ON N2B 2X5",43.4619039,-80.44667797642393,Regular School Day,btw_8am_4pm,0,0,1,1
Chicopee Hills Public School,300 Chicopee Hills Drive Kitchener ON N2A 0J6,43.4451825,-80.41411500815191,Regular School Day,btw_6am_6pm,0,0,2,2
Chicopee Hills Public School,300 Chicopee Hills Drive Kitchener ON N2A 0J6,43.4451825,-80.41411500815191,Regular School Day,btw_7am_5pm,0,0,2,2
Chicopee Hills Public School,300 Chicopee Hills Drive Kitchener ON N2A 0J6,43.4451825,-80.41411500815191,Regular School Day,btw_8am_4pm,0,0,1,1
Country Hills Public School,195 Country Hill Dr Kitchener ON N2E 2G7,43.41335555,-80.4707269854407,Regular School Day,btw_6am_6pm,0,0,4,4
Country Hills Public School,195 Country Hill Dr Kitchener ON N2E 2G7,43.41335555,-80.4707269854407,Regular School Day,btw_7am_5pm,0,0,4,4
Country Hills Public School,195 Country Hill Dr Kitchener ON N2E 2G7,43.41335555,-80.4707269854407,Regular School Day,btw_8am_4pm,0,0,3,3
Courtland Senior Public School,107 Courtland Ave E Kitchener ON N2G 2T9,43.4428724,-80.48902349891235,Lockdown School Day,btw_6am_6pm,0,0,1,1
Courtland Senior Public School,107 Courtland Ave E Kitchener ON N2G 2T9,43.4428724,-80.48902349891235,Lockdown School Day,btw_7am_5pm,0,0,1,1
Courtland Senior Public School,107 Courtland Ave E Kitchener ON N2G 2T9,43.4428724,-80.48902349891235,Lockdown School Day,btw_8am_4pm,0,0,1,1
Courtland Senior Public School,107 Courtland Ave E Kitchener ON N2G 2T9,43.4428724,-80.48902349891235,Regular School Day,btw_6am_6pm,0,0,6,6
Courtland Senior Public School,107 Courtland Ave E Kitchener ON N2G 2T9,43.4428724,-80.48902349891235,Regular School Day,btw_7am_5pm,0,0,5,5
Courtland Senior Public School,107 Courtland Ave E Kitchener ON N2G 2T9,43.4428724,-80.48902349891235,Regular School Day,btw_8am_4pm,0,0,4,4
Crestview Public School,153 Montcalm Dr Kitchener ON N2B 2R6,43.4540155,-80.44196626374642,Lockdown School Day,btw_6am_6pm,0,0,1,1
Crestview Public School,153 Montcalm Dr Kitchener ON N2B 2R6,43.4540155,-80.44196626374642,Lockdown School Day,btw_7am_5pm,0,0,1,1
Crestview Public School,153 Montcalm Dr Kitchener ON N2B 2R6,43.4540155,-80.44196626374642,Lockdown School Day,btw_8am_4pm,0,0,1,1
Crestview Public School,153 Montcalm Dr Kitchener ON N2B 2R6,43.4540155,-80.44196626374642,Regular School Day,btw_6am_6pm,0,0,5,5
Crestview Public School,153 Montcalm Dr Kitchener ON N2B 2R6,43.4540155,-80.44196626374642,Regular School Day,btw_7am_5pm,0,0,4,4
Crestview Public School,153 Montcalm Dr Kitchener ON N2B 2R6,43.4540155,-80.44196626374642,Regular School Day,btw_8am_4pm,0,0,4,4
Doon Public School,1401 Doon Village Rd Kitchener ON N2P 1A8,43.38714255,-80.42078687802726,Lockdown School Day,btw_6am_6pm,0,0,1,1
Doon Public School,1401 Doon Village Rd Kitchener ON N2P 1A8,43.38714255,-80.42078687802726,Lockdown School Day,btw_7am_5pm,0,0,1,1
Doon Public School,1401 Doon Village Rd Kitchener ON N2P 1A8,43.38714255,-80.42078687802726,Regular School Day,btw_6am_6pm,0,1,6,7
Doon Public School,1401 Doon Village Rd Kitchener ON N2P 1A8,43.38714255,-80.42078687802726,Regular School Day,btw_7am_5pm,0,1,4,5
Doon Public School,1401 Doon Village Rd Kitchener ON N2P 1A8,43.38714255,-80.42078687802726,Regular School Day,btw_8am_4pm,0,1,3,4
Driftwood Park Public School,50 Parkland Cres Kitchener ON N2N 1S4,43.41490885,-80.53682872984814,Regular School Day,btw_6am_6pm,0,0,10,10
Driftwood Park Public School,50 Parkland Cres Kitchener ON N2N 1S4,43.41490885,-80.53682872984814,Regular School Day,btw_7am_5pm,0,0,10,10
