table,kind,level,flag,meaning,rows,columns,examples
17-10-0155-01,footnote,note,3,"Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated reserves and settlements) and on the estimated population growth that occurred since that census, as calculated using fiscal data. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the considered year. Population estimates for census subdivisions (CSDs) in Quebec are provided by ""l'Institut de la statistique du Québec"". Population estimates for CSDs in Alberta are provided by Alberta’s Office of Statistics and Information (OSI) in current geography for July 1, 2016 and after. They are converted to the appropriate standard geographical classification using geographical relationships provided by the OSI. Due to this geographical difference, small discrepancies may exist between CSD populations released by Statistics Canada for Alberta and those found directly on the OSI’s website (opens new window). CSD population estimates for Alberta prior to July 1, 2016 are produced using the same method adopted for provinces and territories that do not provide their own estimates. Territorial-level population estimates for Yukon are produced by Statistics Canada, while census subdivision population estimates are supplied by the Yukon Bureau of Statistics (opens new window) for July 1, 2019 and after. Variations in total population estimates at the territorial level between both sources are due to methodological differences. Population estimates for CSDs in Yukon prior to July 1, 2019 are not shown in this table and can be found on the Yukon Bureau of Statistics website (opens new window). Population estimates for census subdivisions in Northwest Territories are provided by the Northwest Territories Bureau of Statistics (opens new window) for July 1, 2001 and after, excluding unorganized regions. Variations in total population estimates at the census division level between these and those produced by Statistics Canada are due to methodological differences.",,whole table,
17-10-0155-01,footnote,note,4,"Population estimates as of July 1 are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022 to 2024, and preliminary postcensal for 2025.",,whole table,
32-10-0370-01,footnote,caution,1,"In 2021, there have been changes to the definition of a census farm. Caution should be taken when comparing the 2021 Census of Agriculture data with data from previous censuses. For a summary of these changes, refer to Dictionary.",,whole table,
32-10-0370-01,footnote,caution,2,"In 2021, there have been changes to the definition of a census farm; in Yukon and Northwest Territories, some activities that were previously included within the definition are not included in 2021. Caution should be taken when comparing the 2021 Census of Agriculture data with data from previous censuses.",,whole table,
32-10-0370-01,footnote,caution,4,"The Census of Agriculture typically makes significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. In 2021, the main farm location's rule was used more stringently, meaning far fewer refinements were made. Due to these changes caution should be taken when comparing 2021 Census of Agriculture data with previous censuses.",,whole table,
32-10-0370-01,symbol,caution,D,data quality: acceptable,1,status,"2021 / 2021-07-01 / North Dumfries, Ontario [CCS350230004] / Total cattle"
32-10-0370-01,symbol,note,A,data quality: excellent,1,status,"2021 / 2021-07-01 / Wellesley, Ontario [CCS350230027] / Total cattle"
32-10-0370-01,symbol,note,B,data quality: very good,1,status,"2021 / 2021-07-01 / Woolwich, Ontario [CCS350230035] / Total cattle"
32-10-0370-01,symbol,note,C,data quality: good,1,status,"2021 / 2021-07-01 / Wilmot, Ontario [CCS350230020] / Total cattle"
98-10-0002-01,footnote,caution,1,"Content considerations The 2021 Census population counts for a particular geographic area represent the number of Canadians whose usual place of residence is in that area, regardless of where they happened to be on Census Day. Also included are any Canadians who were staying in that area on Census Day and who had no usual place of residence elsewhere in Canada, as well as those considered to be non-permanent residents. For most areas, there is little difference between the number of usual residents and the number of people staying in the area on Census Day. For certain places, however, such as tourist or vacation areas, or those including large work camps, the number of people staying in that area at any particular time could significantly exceed the number of usual residents shown here. The population counts include Canadians living in other countries, but do not include foreign residents living in Canada. Given these differences, users are advised not to interpret population counts as being the number of people living in the reported dwellings. The dwelling counts refer to total private dwellings and private dwellings occupied by usual residents in Canada. The census dwelling counts do not include collective dwellings, which are dwellings of a commercial, institutional or communal nature. The usual residents in collective dwellings are, however, included in the population counts. Changes occur to the names, boundaries and other characteristics of geographic areas (e.g., census subdivisions may amalgamate, or there may be an annexation or a change of name or status). Since the geographic framework is used for census data collection, the geographic reference date must be set several months before the date of the census in order to have these changes made in time. For the 2021 Census, the geographic reference date was January 1, 2021. Land area is the area in square kilometres of the land-based portions of standard geographic areas. The data are unofficial, and are provided for the sole purpose of calculating population density. Land area data for the standard geographic areas reflect the boundaries in effect on January 1, 2021 (the geographic reference date for the 2021 Census of Canada). Definitions The Census Dictionary is a reference document which contains detailed definitions of Census of Population concepts, universes, variables, and geographic terms, as well as historical information. Incompletely enumerated reserves and settlementsIn 2021, a total of 63 census subdivisions defined as reserves and settlements were incompletely enumerated. For these reserves and settlements, dwelling enumeration was either not permitted or could not be completed because of the various reasons below.This represents an increase compared with the 14 census subdivisions defined as reserves and settlements that were incompletely enumerated in the 2016 Census. Health and safety restrictions put in place to slow the spread of COVID-19 and natural events (including evacuations because of forest fires) contributed to the incomplete enumeration of many reserves and settlements.The 2021 Census population and dwelling counts are not available for the 63 incompletely enumerated reserves and settlements, and are not included in 2021 Census tabulations. Data for geographic areas containing one or more of these reserves and settlements are noted accordingly. Because of the missing data, users are cautioned that—for the affected geographic areas—comparisons (e.g., percentage change) between 2016 and 2021 may not be precise. The impact of the missing data for higher-level geographic areas (Canada, provinces and territories, census metropolitan areas and census agglomerations) is usually very/ small. However, the impact can be significant for lower-level geographic areas (e.g., census divisions), where incompletely enumerated reserves and settlements account for a higher proportion of the population. This is especially true for lower-level geographic areas where a particular reserve or settlement was incompletely enumerated for the 2021 Census but enumerated for the 2016 Census and, vice versa. Adjustment of population counts Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment, some population counts of geographic areas are adjusted in order to ensure confidentiality. Counts of the total population are rounded to a base of 5 for any dissemination block having a population of less than 15. Population counts for all standard geographic areas above the dissemination block level are derived by summing the adjusted dissemination block counts. The adjustment of dissemination block counts is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions. Dwelling counts are not adjusted. Difference between census counts and population estimates The Census of Population is designed to conduct a complete count of the population. Inevitably, however, some individuals will not be enumerated (undercoverage), while others, usually less numerous, will be enumerated more than once (overcoverage). To determine the number of people who were missed or counted more than once, Statistics Canada conducts postcensal studies of the coverage of the census population, using representative samples of the population. Results of these studies are usually available two years after Census Day. They are used, in combination with census figures and other sources, to develop the population estimates produced by Statistics Canada on a regular basis. Population estimates are used for equalization payments, to follow trends in the Canadian population on a quarterly basis and to understand the underlying components of population change (for example, births, deaths, immigrants, emigrants and non-permanent residents). Population estimates differ from census counts and are usually higher, because census counts are not adjusted for undercoverage or overcoverage.",,whole table,
