geo,value,date,type,value_12,population,dollars_per_person
Canada,6802375000,2021-08-01,Residential,83261834000,38239864,2177.356959219311
Canada,3556495000,2021-08-01,Non-residential,37769248000,38239864,987.693052464831
Canada,7403249000,2021-09-01,Residential,84077581000,38239864,2198.6893311126837
Canada,3816961000,2021-09-01,Non-residential,37755413000,38239864,987.3312572450571
Canada,7256660000,2021-10-01,Residential,84559672000,38239864,2211.296358166964
Canada,3720803000,2021-10-01,Non-residential,38791491000,38239864,1014.425443563293
Canada,7730426000,2021-11-01,Residential,86299136000,38239864,2256.784595259021
Canada,3646075000,2021-11-01,Non-residential,39259680000,38239864,1026.668923299518
Canada,6681573000,2021-12-01,Residential,87395516000,38239864,2285.4557223320667
Canada,3403843000,2021-12-01,Non-residential,39975734000,38239864,1045.3942514021494
Canada,5046342000,2022-01-01,Residential,86590366000,38945628,2223.365508446802
Canada,2729845000,2022-01-01,Non-residential,40451703000,38945628,1038.6712213242524
Canada,5507310000,2022-02-01,Residential,87118408000,38945628,2236.923949461028
Canada,4882106000,2022-02-01,Non-residential,42490911000,38945628,1091.031604369045
Canada,8728365000,2022-03-01,Residential,87356508000,38945628,2243.037601037015
Canada,3898599000,2022-03-01,Non-residential,43604558000,38945628,1119.626521364606
Canada,8110157000,2022-04-01,Residential,87409447000,38945628,2244.3969063741893
Canada,3846998000,2022-04-01,Non-residential,44183290000,38945628,1134.4865205408935
Canada,9115687000,2022-05-01,Residential,88936081000,38945628,2283.5960175041982
Canada,4394030000,2022-05-01,Non-residential,45340303000,38945628,1164.1949386462584
Canada,10577250000,2022-06-01,Residential,90719318000,38945628,2329.3838784676936
Canada,4328828000,2022-06-01,Non-residential,45623844000,38945628,1171.4753707399454
Canada,7938498000,2022-07-01,Residential,90897892000,38945628,2333.969091472861
Canada,3700265000,2022-07-01,Non-residential,45924848000,38945628,1179.2041971951255
Canada,8909047000,2022-08-01,Residential,93004564000,38945628,2388.061735710103
Canada,4424743000,2022-08-01,Non-residential,46793096000,38945628,1201.498047483019
Canada,7089382000,2022-09-01,Residential,92690697000,38945628,2380.0026282796107
Canada,3293753000,2022-09-01,Non-residential,46269888000,38945628,1188.0637282315745
Canada,5790143000,2022-10-01,Residential,91224180000,38945628,2342.3471307228633
Canada,3383809000,2022-10-01,Non-residential,45932894000,38945628,1179.4107929136487
Canada,7161183000,2022-11-01,Residential,90654937000,38945628,2327.730778920807
Canada,4674244000,2022-11-01,Non-residential,46961063000,38945628,1205.8109064257483
Canada,5657447000,2022-12-01,Residential,89630811000,38945628,2301.434476804431
Canada,3430259000,2022-12-01,Non-residential,46987479000,38945628,1206.4891853843003
Canada,4249864000,2023-01-01,Residential,88834333000,40022704,2219.5984809022398
Canada,3313456000,2023-01-01,Non-residential,47571090000,40022704,1188.602599164714
Canada,4754273000,2023-02-01,Residential,88081296000,40022704,2200.783235435567
Canada,3378614000,2023-02-01,Non-residential,46067598000,40022704,1151.0366216135722
Canada,7716092000,2023-03-01,Residential,87069023000,40022704,2175.490766440968
Canada,5923914000,2023-03-01,Non-residential,48092913000,40022704,1201.6407736968497
Canada,6137067000,2023-04-01,Residential,85095933000,40022704,2126.1914987053347
Canada,3085139000,2023-04-01,Non-residential,47331054000,40022704,1182.6051033433423
Canada,8278652000,2023-05-01,Residential,84258898000,40022704,2105.277494494125
Canada,4592706000,2023-05-01,Non-residential,47529730000,40022704,1187.5691857301795
Canada,10143833000,2023-06-01,Residential,83825481000,40022704,2094.4482161924893
Canada,6944580000,2023-06-01,Non-residential,50145482000,40022704,1252.925889265253
Canada,7642659000,2023-07-01,Residential,83529642000,40022704,2087.0564367664915
Canada,4513632000,2023-07-01,Non-residential,50958849000,40022704,1273.248529134863
Canada,7314360000,2023-08-01,Residential,81934955000,40022704,2047.2118775383092
Canada,5419734000,2023-08-01,Non-residential,51953840000,40022704,1298.1091932219272
Canada,7999459000,2023-09-01,Residential,82845032000,40022704,2069.9508958715032
Canada,3642480000,2023-09-01,Non-residential,52302567000,40022704,1306.8224225929362
Canada,6753630000,2023-10-01,Residential,83808519000,40022704,2094.0244067467306
Canada,4154507000,2023-10-01,Non-residential,53073265000,40022704,1326.0789425921846
Canada,7298637000,2023-11-01,Residential,83945973000,40022704,2097.4588073809305
Canada,4258385000,2023-11-01,Non-residential,52657406000,40022704,1315.6883652838649
Canada,4273478000,2023-12-01,Residential,82562004000,40022704,2062.87920976054
Canada,3001637000,2023-12-01,Non-residential,52228784000,40022704,1304.978893979777
Canada,4326939000,2024-01-01,Residential,82639079000,41162593,2007.6256857773756
Canada,3449720000,2024-01-01,Non-residential,52365048000,41162593,1272.1513438184033
Canada,5412959000,2024-02-01,Residential,83297765000,41162593,2023.6277389036206
Canada,4519361000,2024-02-01,Non-residential,53505795000,41162593,1299.8645396318934
Canada,6721055000,2024-03-01,Residential,82302728000,41162593,1999.4544075491065
Canada,4601508000,2024-03-01,Non-residential,52183389000,41162593,1267.7381378767855
Canada,10013707000,2024-04-01,Residential,86179368000,41162593,2093.6331197599725
Canada,4591237000,2024-04-01,Non-residential,53689487000,41162593,1304.3271350762573
Canada,9267407000,2024-05-01,Residential,87168123000,41162593,2117.6538368221845
Canada,5087837000,2024-05-01,Non-residential,54184618000,41162593,1316.355799062513
Canada,8157968000,2024-06-01,Residential,85182258000,41162593,2069.409427146633
Canada,4435744000,2024-06-01,Non-residential,51675782000,41162593,1255.4063831693013
Canada,8611473000,2024-07-01,Residential,86151072000,41162593,2092.945699509261
Canada,5670346000,2024-07-01,Non-residential,52832496000,41162593,1283.5074797158672
Canada,7431794000,2024-08-01,Residential,86268506000,41162593,2095.798629595565
Canada,5211024000,2024-08-01,Non-residential,52623786000,41162593,1278.4370994315154
Canada,8292460000,2024-09-01,Residential,86561507000,41162593,2102.9167671725636
Canada,5427090000,2024-09-01,Non-residential,54408396000,41162593,1321.7922398620515
Canada,7838014000,2024-10-01,Residential,87645891000,41162593,2129.2606857881865
Canada,4829525000,2024-10-01,Non-residential,55083414000,41162593,1338.1910609955985
Canada,7043718000,2024-11-01,Residential,87390972000,41162593,2123.067708586774
Canada,4654345000,2024-11-01,Non-residential,55479374000,41162593,1347.810474427595
Canada,7607683000,2024-12-01,Residential,90725177000,41162593,2204.0685580716454
Canada,3173650000,2024-12-01,Non-residential,55651387000,41162593,1351.9893413906166
Canada,6118012000,2025-01-01,Residential,92516250000,41608982,2223.4682405832473
Canada,3048492000,2025-01-01,Non-residential,55250159000,41608982,1327.842123126204
Canada,6175905000,2025-02-01,Residential,93279196000,41608982,2241.8043296517085
Canada,4883864000,2025-02-01,Non-residential,55614662000,41608982,1336.6023230272733
Canada,9303050000,2025-03-01,Residential,95861191000,41608982,2303.8581189032693
Canada,4350314000,2025-03-01,Non-residential,55363468000,41608982,1330.5653091921354
Canada,7952792000,2025-04-01,Residential,93800276000,41608982,2254.3275872502722
Canada,3989082000,2025-04-01,Non-residential,54761313000,41608982,1316.0935540311946
Canada,8752364000,2025-05-01,Residential,93285233000,41608982,2241.9494185173767
Canada,6417787000,2025-05-01,Non-residential,56091263000,41608982,1348.05660470136
Canada,8479461000,2025-06-01,Residential,93606726000,41608982,2249.675947371171
Canada,6263637000,2025-06-01,Non-residential,57919156000,41608982,1391.9868551458433
Canada,8440461000,2025-07-01,Residential,93435714000,41608982,2245.5659693861294
Canada,5194722000,2025-07-01,Non-residential,57443532000,41608982,1380.5560539789221
Canada,6691582000,2025-08-01,Residential,92695502000,41608982,2227.776252733124
Canada,4677427000,2025-08-01,Non-residential,56909935000,41608982,1367.7319719093343
Canada,8171240000,2025-09-01,Residential,92574282000,41608982,2224.862939448987
Canada,4833736000,2025-09-01,Non-residential,56316581000,41608982,1353.4717335790624
Canada,8679554000,2025-10-01,Residential,93415822000,41608982,2245.0878995309236
Canada,5425932000,2025-10-01,Non-residential,56912988000,41608982,1367.8053454900676
Canada,6682252000,2025-11-01,Residential,93054356000,41608982,2236.400688678228
Canada,3976571000,2025-11-01,Non-residential,56235214000,41608982,1351.516218301135
Canada,6887750000,2025-12-01,Residential,92334423000,41608982,2219.0983427568594
Canada,4143498000,2025-12-01,Non-residential,57205062000,41608982,1374.8248395022017
Canada,5732615000,2026-01-01,Residential,91949026000,41798407,2199.8212994098076
Canada,4008796000,2026-01-01,Non-residential,58165366000,41798407,1391.568965774222
Canada,6386600000,2026-02-01,Residential,92159721000,41798407,2204.8620417519737
Canada,3874360000,2026-02-01,Non-residential,57155862000,41798407,1367.4172319533614
Canada,9540694000,2026-03-01,Residential,92397365000,41798407,2210.5475215837773
Canada,7003513000,2026-03-01,Non-residential,59809061000,41798407,1430.8933113168644
Canada,8143739000,2026-04-01,Residential,92588312000,41798407,2215.1158057291514
Canada,4535023000,2026-04-01,Non-residential,60355002000,41798407,1443.9545985568302
Canada,8300361000,2026-05-01,Residential,92136309000,41798407,2204.301924712107
Canada,4751959000,2026-05-01,Non-residential,58689174000,41798407,1404.1007352265842
Canada,9310497000,2026-06-01,Residential,92967345000,41798407,2224.1839264352825
Canada,10774483000,2026-06-01,Non-residential,63200020000,41798407,1512.01982410478
Canada,7895819000,2026-07-01,Residential,92422703000,41798407,2211.153716934715
Canada,4989984000,2026-07-01,Non-residential,62995282000,41798407,1507.1215991556808
Ontario,2803387000,2021-08-01,Residential,37765051000,14842488,2544.3881780466995
Ontario,1324329000,2021-08-01,Non-residential,15829953000,14842488,1066.5296141725025
Ontario,3265714000,2021-09-01,Residential,37978705000,14842488,2558.78293450532
Ontario,1412682000,2021-09-01,Non-residential,15206602000,14842488,1024.531870937002
Ontario,3236981000,2021-10-01,Residential,37905162000,14842488,2553.828037455715
Ontario,1489360000,2021-10-01,Non-residential,15679851000,14842488,1056.4166196395106
Ontario,3135078000,2021-11-01,Residential,38261650000,14842488,2577.846113131437
Ontario,1461932000,2021-11-01,Non-residential,15588862000,14842488,1050.2863131841507
Ontario,2753135000,2021-12-01,Residential,38550754000,14842488,2597.3242491420574
Ontario,1388532000,2021-12-01,Non-residential,15998491000,14842488,1077.8847185188897
Ontario,2476153000,2022-01-01,Residential,37885878000,15155192,2499.861301658204
Ontario,1229528000,2022-01-01,Non-residential,16246875000,15155192,1072.0335974628365
Ontario,2048533000,2022-02-01,Residential,38038054000,15155192,2509.902480945144
Ontario,1019138000,2022-02-01,Non-residential,16089632000,15155192,1061.6580773110627
Ontario,3680248000,2022-03-01,Residential,37995806000,15155192,2507.1147894398173
Ontario,1527222000,2022-03-01,Non-residential,16402541000,15155192,1082.3050608662695
Ontario,3113135000,2022-04-01,Residential,37319905000,15155192,2462.5161462817496
Ontario,1590066000,2022-04-01,Non-residential,16723066000,15155192,1103.4545784705333
Ontario,3559859000,2022-05-01,Residential,37839915000,15155192,2496.828479639189
Ontario,1467571000,2022-05-01,Non-residential,17003778000,15155192,1121.977075579115
Ontario,4714576000,2022-06-01,Residential,38367697000,15155192,2531.653640547741
Ontario,1913348000,2022-06-01,Non-residential,17529808000,15155192,1156.6866325415078
Ontario,2897198000,2022-07-01,Residential,37683997000,15155192,2486.5403882708974
Ontario,1300142000,2022-07-01,Non-residential,17123850000,15155192,1129.8999049302708
Ontario,4290318000,2022-08-01,Residential,39170928000,15155192,2584.6540248384845
Ontario,2267890000,2022-08-01,Non-residential,18067411000,15155192,1192.159822191629
Ontario,2856685000,2022-09-01,Residential,38761899000,15155192,2557.664660401531
Ontario,1105367000,2022-09-01,Non-residential,17760096000,15155192,1171.8819530626863
Ontario,2111070000,2022-10-01,Residential,37635988000,15155192,2483.3725630133886
Ontario,1347959000,2022-10-01,Non-residential,17618695000,15155192,1162.5517512414228
Ontario,3005450000,2022-11-01,Residential,37506360000,15155192,2474.81919067736
Ontario,2823912000,2022-11-01,Non-residential,18980675000,15155192,1252.4206225826765
Ontario,2452001000,2022-12-01,Residential,37205226000,15155192,2454.9491685753633
Ontario,1230592000,2022-12-01,Non-residential,18822735000,15155192,1241.9991115915918
Ontario,2072925000,2023-01-01,Residential,36801998000,15618269,2356.3429468400113
Ontario,1415232000,2023-01-01,Non-residential,19008439000,15618269,1217.0643878652622
Ontario,2019310000,2023-02-01,Residential,36772775000,15618269,2354.471868809533
Ontario,1428172000,2023-02-01,Non-residential,19417473000,15618269,1243.253845864737
Ontario,3412077000,2023-03-01,Residential,36504604000,15618269,2337.301528101482
Ontario,2072901000,2023-03-01,Non-residential,19963152000,15618269,1278.1923528145148
Ontario,2479620000,2023-04-01,Residential,35871089000,15618269,2296.7390944540653
Ontario,1393355000,2023-04-01,Non-residential,19766441000,15618269,1265.5974231203215
Ontario,3385320000,2023-05-01,Residential,35696550000,15618269,2285.56378430926
Ontario,1841458000,2023-05-01,Non-residential,20140328000,15618269,1289.536503693207
Ontario,3875802000,2023-06-01,Residential,34857776000,15618269,2231.859113196219
Ontario,2104570000,2023-06-01,Non-residential,20331550000,15618269,1301.7799859894844
Ontario,3458577000,2023-07-01,Residential,35419155000,15618269,2267.802853184306
Ontario,1772526000,2023-07-01,Non-residential,20803934000,15618269,1332.0255913123278
Ontario,3302101000,2023-08-01,Residential,34430938000,15618269,2204.5297081257854
Ontario,2663214000,2023-08-01,Non-residential,21199258000,15618269,1357.3372311617888
Ontario,2954260000,2023-09-01,Residential,34528513000,15618269,2210.777199445086
Ontario,1514631000,2023-09-01,Non-residential,21608522000,15618269,1383.541415505137
Ontario,2681666000,2023-10-01,Residential,35099109000,15618269,2247.3110816570006
Ontario,2027988000,2023-10-01,Non-residential,22288551000,15618269,1427.082028104395
Ontario,3170134000,2023-11-01,Residential,35263793000,15618269,2257.8553999806254
Ontario,1823401000,2023-11-01,Non-residential,21288040000,15618269,1363.021727952054
Ontario,1639751000,2023-12-01,Residential,34451543000,15618269,2205.8489964540886
Ontario,1265926000,2023-12-01,Non-residential,21323374000,15618269,1365.2840785364883
Ontario,1781608000,2024-01-01,Residential,34160226000,16090358,2123.024608899317
Ontario,1370233000,2024-01-01,Non-residential,21278375000,16090358,1322.4301783714197
Ontario,1954367000,2024-02-01,Residential,34095283000,16090358,2118.9884650173726
Ontario,2160527000,2024-02-01,Non-residential,22010730000,16090358,1367.9453247715185
Ontario,2455872000,2024-03-01,Residential,33139078000,16090358,2059.56126022802
Ontario,2259972000,2024-03-01,Non-residential,22197801000,16090358,1379.5716043111036
Ontario,3737918000,2024-04-01,Residential,34397376000,16090358,2137.7632492701528
Ontario,1759221000,2024-04-01,Non-residential,22563667000,16090358,1402.309818091058
Ontario,4237729000,2024-05-01,Residential,35249785000,16090358,2190.7396342579823
Ontario,1987538000,2024-05-01,Non-residential,22709747000,16090358,1411.3885471037997
Ontario,3491760000,2024-06-01,Residential,34865743000,16090358,2166.8717998692136
Ontario,2080010000,2024-06-01,Non-residential,22685187000,16090358,1409.8621671438261
Ontario,3125214000,2024-07-01,Residential,34532380000,16090358,2146.1536157243986
Ontario,2413427000,2024-07-01,Non-residential,23326088000,16090358,1449.6935369617008
Ontario,2625487000,2024-08-01,Residential,33855766000,16090358,2104.1027179134235
Ontario,2851229000,2024-08-01,Non-residential,23514103000,16090358,1461.378485177272
Ontario,3495781000,2024-09-01,Residential,34397287000,16090358,2137.7577180072685
Ontario,2501237000,2024-09-01,Non-residential,24500709000,16090358,1522.6950823592613
Ontario,2705044000,2024-10-01,Residential,34420665000,16090358,2139.2106378242174
Ontario,2541343000,2024-10-01,Non-residential,25014064000,16090358,1554.5995931227883
Ontario,2717730000,2024-11-01,Residential,33968261000,16090358,2111.0941720501187
Ontario,1920099000,2024-11-01,Non-residential,25110762000,16090358,1560.6092791720357
Ontario,3447778000,2024-12-01,Residential,35776288000,16090358,2223.461280351873
Ontario,1336740000,2024-12-01,Non-residential,25181576000,16090358,1565.0102999572787
Ontario,2448318000,2025-01-01,Residential,36442998000,16216961,2247.214999160447
Ontario,1256025000,2025-01-01,Non-residential,25067368000,16216961,1545.7500329439035
Ontario,2340677000,2025-02-01,Residential,36829308000,16216961,2271.0363550852717
Ontario,1372947000,2025-02-01,Non-residential,24279788000,16216961,1497.1848301293935
Ontario,2597722000,2025-03-01,Residential,36971158000,16216961,2279.783370016121
Ontario,1683784000,2025-03-01,Non-residential,23703600000,16216961,1461.6548686279755
Ontario,2913695000,2025-04-01,Residential,36146935000,16216961,2228.9586193122127
Ontario,1775507000,2025-04-01,Non-residential,23719886000,16216961,1462.6591258374488
Ontario,2506190000,2025-05-01,Residential,34415396000,16216961,2122.1852849001734
Ontario,3701196000,2025-05-01,Non-residential,25433544000,16216961,1568.3298492239082
Ontario,2934170000,2025-06-01,Residential,33857806000,16216961,2087.802147393707
Ontario,2721494000,2025-06-01,Non-residential,26075028000,16216961,1607.8862124660718
Ontario,3365101000,2025-07-01,Residential,34097693000,16216961,2102.5944996722874
Ontario,2392116000,2025-07-01,Non-residential,26053717000,16216961,1606.572094487987
Ontario,2144983000,2025-08-01,Residential,33617189000,16216961,2072.9647805159057
Ontario,1790428000,2025-08-01,Non-residential,24992916000,16216961,1541.1590371340228
Ontario,2486686000,2025-09-01,Residential,32608094000,16216961,2010.7401133911587
Ontario,1763039000,2025-09-01,Non-residential,24254718000,16216961,1495.6389177972371
Ontario,2958933000,2025-10-01,Residential,32861983000,16216961,2026.3958826811015
Ontario,2227168000,2025-10-01,Non-residential,23940543000,16216961,1476.265682577642
Ontario,2102972000,2025-11-01,Residential,32247225000,16216961,1988.4875470811085
Ontario,1664610000,2025-11-01,Non-residential,23685054000,16216961,1460.51125115242
Ontario,2591594000,2025-12-01,Residential,31391041000,16216961,1935.6919585611631
Ontario,1908380000,2025-12-01,Non-residential,24256694000,16216961,1495.760765534307
Ontario,2121271000,2026-01-01,Residential,31063994000,16262121,1910.2055629766867
Ontario,2219744000,2026-01-01,Non-residential,25220413000,16262121,1550.8686105582415
Ontario,2303478000,2026-02-01,Residential,31026795000,16262121,1907.918099982161
Ontario,983736000,2026-02-01,Non-residential,24831202000,16262121,1526.9350166561915
Ontario,2573042000,2026-03-01,Residential,31002115000,16262121,1906.4004627686634
Ontario,2414769000,2026-03-01,Non-residential,25562187000,16262121,1571.885180291058
Ontario,2697172000,2026-04-01,Residential,30785592000,16262121,1893.085901894347
Ontario,2143184000,2026-04-01,Non-residential,25929864000,16262121,1594.4945926795158
Ontario,2877925000,2026-05-01,Residential,31157327000,16262121,1915.9448512282008
Ontario,2118030000,2026-05-01,Non-residential,24346698000,16262121,1497.1416090188973
Ontario,3117984000,2026-06-01,Residential,31341141000,16262121,1927.2480508538831
Ontario,6963244000,2026-06-01,Non-residential,28588448000,16262121,1757.9778185145715
Ontario,2797670000,2026-07-01,Residential,30773710000,16262121,1892.355246895531
Ontario,2171487000,2026-07-01,Non-residential,28367819000,16262121,1744.4107690503595
Region,168718000,2021-08-01,Residential,1581544000,602303,2625.8278640484937
Region,48024000,2021-08-01,Non-residential,692997000,602303,1150.578695440667
Region,87275000,2021-09-01,Residential,1563290000,602303,2595.5208591024784
Region,49463000,2021-09-01,Non-residential,564667000,602303,937.5131785828727
Region,87981000,2021-10-01,Residential,1565435000,602303,2599.0821895291906
Region,30707000,2021-10-01,Non-residential,566281000,602303,940.1928929459093
Region,200613000,2021-11-01,Residential,1560662000,602303,2591.1576067195415
Region,34195000,2021-11-01,Non-residential,570900000,602303,947.8617904941533
Region,174264000,2021-12-01,Residential,1534213000,602303,2547.2444932201897
Region,32889000,2021-12-01,Non-residential,591759000,602303,982.4938610632854
Region,63725000,2022-01-01,Residential,1521722000,627929,2423.3981867376724
Region,69591000,2022-01-01,Non-residential,631977000,627929,1006.446588706685
Region,78313000,2022-02-01,Residential,1465636000,627929,2334.0791713712856
Region,36315000,2022-02-01,Non-residential,650756000,627929,1036.3528360690461
Region,134160000,2022-03-01,Residential,1458358000,627929,2322.4886890078337
Region,108560000,2022-03-01,Non-residential,650736000,627929,1036.3209853343292
Region,100107000,2022-04-01,Residential,1435831000,627929,2286.61361395954
Region,49543000,2022-04-01,Non-residential,614730000,627929,978.9801076236326
Region,175960000,2022-05-01,Residential,1467784000,627929,2337.4999402798726
Region,68577000,2022-05-01,Non-residential,647211000,627929,1030.707293340489
Region,166270000,2022-06-01,Residential,1545477000,627929,2461.228896897579
Region,65103000,2022-06-01,Non-residential,654706000,627929,1042.6433561756187
Region,107903000,2022-07-01,Residential,1545289000,627929,2460.929499991241
Region,16082000,2022-07-01,Non-residential,609049000,627929,969.932906427319
Region,133900000,2022-08-01,Residential,1510471000,627929,2405.480555922724
Region,242468000,2022-08-01,Non-residential,803493000,627929,1279.5921194912164
Region,65761000,2022-09-01,Residential,1488957000,627929,2371.218720587837
Region,73351000,2022-09-01,Non-residential,827381000,627929,1317.63463703699
Region,116480000,2022-10-01,Residential,1517456000,627929,2416.604425022574
Region,49399000,2022-10-01,Non-residential,846073000,627929,1347.4023337033327
Region,217958000,2022-11-01,Residential,1534801000,627929,2444.226974705739
Region,65650000,2022-11-01,Non-residential,877528000,627929,1397.4955767292163
Region,85015000,2022-12-01,Residential,1445552000,627929,2302.094663568652
Region,257524000,2022-12-01,Non-residential,1102163000,627929,1755.2350663848938
Region,70869000,2023-01-01,Residential,1452696000,664490,2186.181883850773
Region,59022000,2023-01-01,Non-residential,1091594000,664490,1642.754593748589
Region,47960000,2023-02-01,Residential,1422343000,664490,2140.5032430886845
