geo,date,measure,businesses,active_businesses,percent
Canada,2021-06-01,Openings,43044,893151,4.819341858207626
Canada,2021-06-01,Closures,41160,893151,4.608403282311726
Canada,2021-07-01,Openings,46009,901562,5.1032541300542835
Canada,2021-07-01,Closures,36155,901562,4.010262189400175
Canada,2021-08-01,Openings,41327,903641,4.573386997712587
Canada,2021-08-01,Closures,40108,903641,4.4384882934705265
Canada,2021-09-01,Openings,41961,905253,4.6352787563255795
Canada,2021-09-01,Closures,41682,905253,4.604458643053379
Canada,2021-10-01,Openings,43451,909234,4.778857807781056
Canada,2021-10-01,Closures,39556,909234,4.35047523519798
Canada,2021-11-01,Openings,44058,911894,4.831482606531022
Canada,2021-11-01,Closures,40866,911894,4.4814419219777735
Canada,2021-12-01,Openings,42880,913858,4.6921950675050175
Canada,2021-12-01,Closures,42721,913858,4.674796303145565
Canada,2022-01-01,Openings,43823,918588,4.770691539623857
Canada,2022-01-01,Closures,40505,918588,4.409484992183656
Canada,2022-02-01,Openings,46176,919950,5.019403228436328
Canada,2022-02-01,Closures,45162,919950,4.9091798467308
Canada,2022-03-01,Openings,45202,922551,4.899674923120782
Canada,2022-03-01,Closures,42737,922551,4.632481022729366
Canada,2022-04-01,Openings,44103,925517,4.765228515521595
Canada,2022-04-01,Closures,39051,925517,4.219371443204176
Canada,2022-05-01,Openings,42503,926249,4.588722902804753
Canada,2022-05-01,Closures,43065,926249,4.6493977321433
Canada,2022-06-01,Openings,42834,926833,4.621544550096943
Canada,2022-06-01,Closures,40215,926833,4.33896937204437
Canada,2022-07-01,Openings,44537,927742,4.800580333756583
Canada,2022-07-01,Closures,43455,927742,4.683953081783513
Canada,2022-08-01,Openings,43871,928101,4.726963983445767
Canada,2022-08-01,Closures,43796,928101,4.718882966401286
Canada,2022-09-01,Openings,42778,928848,4.605489811034745
Canada,2022-09-01,Closures,42845,928848,4.612703047215475
Canada,2022-10-01,Openings,43202,928575,4.652505182672375
Canada,2022-10-01,Closures,43924,928575,4.730258729774117
Canada,2022-11-01,Openings,42721,928187,4.602628565149049
Canada,2022-11-01,Closures,42978,928187,4.630316951217804
Canada,2022-12-01,Openings,43033,930363,4.625398903438765
Canada,2022-12-01,Closures,40710,930363,4.37571141586671
Canada,2023-01-01,Openings,43802,935128,4.6840646414180735
Canada,2023-01-01,Closures,41053,935128,4.390094190314054
Canada,2023-02-01,Openings,42599,934869,4.556681203462731
Canada,2023-02-01,Closures,43403,934869,4.64268255766316
Canada,2023-03-01,Openings,39783,929764,4.278827745535426
Canada,2023-03-01,Closures,44069,929764,4.739804939748151
Canada,2023-04-01,Openings,44810,928406,4.826552176526218
Canada,2023-04-01,Closures,44694,928406,4.814057642884687
Canada,2023-05-01,Openings,47123,933072,5.050306943086921
Canada,2023-05-01,Closures,42791,933072,4.586034089545072
Canada,2023-06-01,Openings,45506,935019,4.86685297304119
Canada,2023-06-01,Closures,43224,935019,4.622793761410196
Canada,2023-07-01,Openings,40662,934056,4.353272180682957
Canada,2023-07-01,Closures,41857,934056,4.481208835444556
Canada,2023-08-01,Openings,44528,935241,4.761125741921067
Canada,2023-08-01,Closures,43127,935241,4.611324781526901
Canada,2023-09-01,Openings,44059,933914,4.717672076872175
Canada,2023-09-01,Closures,46176,933914,4.94435247785128
Canada,2023-10-01,Openings,44024,935002,4.7084391263334195
Canada,2023-10-01,Closures,43109,935002,4.6105783730943894
Canada,2023-11-01,Openings,42759,936392,4.566356824919478
Canada,2023-11-01,Closures,41395,936392,4.420691334398414
Canada,2023-12-01,Openings,44384,936139,4.741176256944748
Canada,2023-12-01,Closures,43378,936139,4.633713583132419
Canada,2024-01-01,Openings,45211,939023,4.8146850503129315
Canada,2024-01-01,Closures,43331,939023,4.614476961693164
Canada,2024-02-01,Openings,44306,939471,4.716058292379435
Canada,2024-02-01,Closures,43924,939471,4.675397111778863
Canada,2024-03-01,Openings,43565,939631,4.636394499542906
Canada,2024-03-01,Closures,43225,939631,4.600210082468544
Canada,2024-04-01,Openings,44537,938640,4.744843603511463
Canada,2024-04-01,Closures,44386,938640,4.728756498764169
Canada,2024-05-01,Openings,45034,939269,4.794579614572609
Canada,2024-05-01,Closures,44432,939269,4.730487219316299
Canada,2024-06-01,Openings,44142,936953,4.7112288449900905
Canada,2024-06-01,Closures,46100,936953,4.920204108423795
Canada,2024-07-01,Openings,43989,937892,4.690198871511859
Canada,2024-07-01,Closures,41834,937892,4.460428279588695
Canada,2024-08-01,Openings,44816,936971,4.783072261574798
Canada,2024-08-01,Closures,45943,936971,4.903353465582179
Canada,2024-09-01,Openings,46067,937169,4.915548849780563
Canada,2024-09-01,Closures,46286,937169,4.93891710033089
Canada,2024-10-01,Openings,45538,937636,4.856682123979882
Canada,2024-10-01,Closures,45613,937636,4.8646809636148785
Canada,2024-11-01,Openings,46329,936396,4.947586277600503
Canada,2024-11-01,Closures,47363,936396,5.058009645491865
Canada,2024-12-01,Openings,48917,938261,5.213581295609644
Canada,2024-12-01,Closures,47420,938261,5.054030808058738
Canada,2025-01-01,Openings,44507,938258,4.743577992407206
Canada,2025-01-01,Closures,44965,938258,4.792391858102995
Canada,2025-02-01,Openings,44029,938326,4.692292444203827
Canada,2025-02-01,Closures,44163,938326,4.706573195243444
Canada,2025-03-01,Openings,44419,938170,4.734642975153757
Canada,2025-03-01,Closures,44481,938170,4.741251585533539
Canada,2025-04-01,Openings,44574,937780,4.753140395401907
Canada,2025-04-01,Closures,44155,937780,4.708460406491928
Canada,2025-05-01,Openings,45087,937850,4.807485205523272
Canada,2025-05-01,Closures,45224,937850,4.822093085248174
Canada,2025-06-01,Openings,44690,938630,4.761194506887699
Canada,2025-06-01,Closures,43856,938630,4.672341604253007
Canada,2025-07-01,Openings,48009,938561,5.115170990484369
Canada,2025-07-01,Closures,46514,938561,4.955884593542668
Canada,2025-08-01,Openings,44423,938539,4.733207677038461
Canada,2025-08-01,Closures,45056,938539,4.800652929713096
Canada,2025-09-01,Openings,45336,939754,4.824241237600478
Canada,2025-09-01,Closures,43993,939754,4.68133149739187
Canada,2025-10-01,Openings,42226,937976,4.501820942113658
Canada,2025-10-01,Closures,46131,937976,4.918142894914156
Canada,2025-11-01,Openings,46404,938515,4.9444068555111
Canada,2025-11-01,Closures,45661,938515,4.865239234322307
Canada,2025-12-01,Openings,46205,937801,4.926951453453345
Canada,2025-12-01,Closures,45807,937801,4.884511746095387
Canada,2026-01-01,Openings,46303,936326,4.945179349927269
Canada,2026-01-01,Closures,47075,936326,5.027629265875347
Canada,2026-02-01,Openings,46899,936065,5.010228990508138
Canada,2026-02-01,Closures,46829,936065,5.002750877342919
