geo,year,kind,per_100k
Canada,2021,All crime,5921.27
Canada,2022,All crime,6227.63
Canada,2023,All crime,6351.2
Canada,2024,All crime,6187.9
Canada,2025,All crime,6064.51
Ontario,2021,All crime,4183.13
Ontario,2022,All crime,4435.82
Ontario,2023,All crime,4768.88
Ontario,2024,All crime,4724.62
Ontario,2025,All crime,4581.74
Region,2021,All crime,5785.59
Region,2022,All crime,5649.84
Region,2023,All crime,5690.68
Region,2024,All crime,5548.65
Region,2025,All crime,5269.75
Canada,2021,Violent crime,1331.12
Canada,2022,Violent crime,1376.43
Canada,2023,Violent crime,1443.03
Canada,2024,Violent crime,1447.82
Canada,2025,Violent crime,1443.25
Ontario,2021,Violent crime,952.12
Ontario,2022,Violent crime,1000.37
Ontario,2023,Violent crime,1067.71
Ontario,2024,Violent crime,1089.62
Ontario,2025,Violent crime,1077.77
Region,2021,Violent crime,1436.18
Region,2022,Violent crime,1453.95
Region,2023,Violent crime,1437.29
Region,2024,Violent crime,1428.93
Region,2025,Violent crime,1397.41
Canada,2021,Non-violent crime,4590.1500000000005
Canada,2022,Non-violent crime,4851.2
Canada,2023,Non-violent crime,4908.17
Canada,2024,Non-violent crime,4740.08
Canada,2025,Non-violent crime,4621.26
Ontario,2021,Non-violent crime,3231.01
Ontario,2022,Non-violent crime,3435.45
Ontario,2023,Non-violent crime,3701.17
Ontario,2024,Non-violent crime,3635
Ontario,2025,Non-violent crime,3503.97
Region,2021,Non-violent crime,4349.41
Region,2022,Non-violent crime,4195.89
Region,2023,Non-violent crime,4253.39
Region,2024,Non-violent crime,4119.719999999999
Region,2025,Non-violent crime,3872.34
