geo,value,year,index
Canada,74.87,2021,All crime
Canada,78.74,2022,All crime
Canada,81.27,2023,All crime
Canada,78.84,2024,All crime
Canada,75.01,2025,All crime
Ontario,56.04,2021,All crime
Ontario,58.77,2022,All crime
Ontario,61.51,2023,All crime
Ontario,60.95,2024,All crime
Ontario,57.17,2025,All crime
Region,76.26,2021,All crime
Region,78.87,2022,All crime
Region,75.81,2023,All crime
Region,73.13,2024,All crime
Region,66.82,2025,All crime
Canada,93.4,2021,Violent crime
Canada,99.03,2022,Violent crime
Canada,101.01,2023,Violent crime
Canada,101.42,2024,Violent crime
Canada,97.19,2025,Violent crime
Ontario,72.69,2021,Violent crime
Ontario,78.53,2022,Violent crime
Ontario,79.74,2023,Violent crime
Ontario,82.04,2024,Violent crime
Ontario,74.91,2025,Violent crime
Region,84.69,2021,Violent crime
Region,98.04,2022,Violent crime
Region,92.81,2023,Violent crime
Region,91.32,2024,Violent crime
Region,85.09,2025,Violent crime
Canada,68.1,2021,Non-violent crime
Canada,71.29,2022,Non-violent crime
Canada,74.06,2023,Non-violent crime
Canada,70.49,2024,Non-violent crime
Canada,66.78,2025,Non-violent crime
Ontario,49.86,2021,Non-violent crime
Ontario,51.37,2022,Non-violent crime
Ontario,54.74,2023,Non-violent crime
Ontario,53.03,2024,Non-violent crime
Ontario,50.56,2025,Non-violent crime
Region,73.53,2021,Non-violent crime
Region,71.87,2022,Non-violent crime
Region,69.66,2023,Non-violent crime
Region,66.48,2024,Non-violent crime
Region,60.09,2025,Non-violent crime
