geo,date,beneficiaries,labour_force,per_100
Canada,2021-08-01,1474860,20534.5,7.182351652097689
Canada,2021-09-01,1303460,20598.3,6.327997941577703
Canada,2021-10-01,767370,20626.3,3.720347323562636
Canada,2021-11-01,718860,20676.5,3.476700602132856
Canada,2021-12-01,659630,20688.3,3.188420508209954
Canada,2022-01-01,674460,20690.5,3.259756893260192
Canada,2022-02-01,584830,20712.2,2.8236015488456077
Canada,2022-03-01,543050,20719.4,2.6209735803160323
Canada,2022-04-01,523500,20784.5,2.5187038418051912
Canada,2022-05-01,506180,20812.1,2.4321428399825105
Canada,2022-06-01,496410,20817.3,2.384603190615498
Canada,2022-07-01,496620,20806.7,2.386827320045947
Canada,2022-08-01,477130,20812.6,2.292505501475068
Canada,2022-09-01,454400,20840.8,2.1803385666577095
Canada,2022-10-01,435160,20894.4,2.0826632973428287
Canada,2022-11-01,414530,20933.5,1.980223087395801
Canada,2022-12-01,403980,20995.8,1.9240991055353929
Canada,2023-01-01,394260,21071.1,1.8710935831541782
Canada,2023-02-01,394610,21156.8,1.8651686455418588
Canada,2023-03-01,400180,21238.2,1.8842463108926368
Canada,2023-04-01,405860,21285.4,1.9067529856145526
Canada,2023-05-01,414370,21327.3,1.9429088539102464
Canada,2023-06-01,426080,21388.8,1.9920706163973667
Canada,2023-07-01,433650,21457.5,2.020971688220902
Canada,2023-08-01,449970,21531.9,2.0897830660554804
Canada,2023-09-01,456490,21590.6,2.114299741554195
Canada,2023-10-01,459740,21660.2,2.122510410799531
Canada,2023-11-01,464170,21722.6,2.1368068279119443
Canada,2023-12-01,467970,21769,2.149708300794708
Canada,2024-01-01,477090,21789.3,2.1895609312827857
Canada,2024-02-01,475160,21829,2.176737367721838
Canada,2024-03-01,478310,21888.2,2.185241362926143
Canada,2024-04-01,466760,21967.2,2.1248042536144798
Canada,2024-05-01,479240,22031.5,2.1752490751877995
Canada,2024-06-01,478500,22084.8,2.16664855466203
Canada,2024-07-01,484610,22122.1,2.190614815049204
Canada,2024-08-01,490410,22166.3,2.2124125361472147
Canada,2024-09-01,487530,22199.9,2.196090973382763
Canada,2024-10-01,487320,22241.5,2.1910392734302993
Canada,2024-11-01,482400,22301.9,2.163044404288424
Canada,2024-12-01,482380,22370.4,2.1563315810177732
Canada,2025-01-01,489780,22440.4,2.18258141566104
Canada,2025-02-01,506290,22462.9,2.2538941988790406
Canada,2025-03-01,508230,22478.8,2.260930298770397
Canada,2025-04-01,530380,22491.5,2.358135295556099
Canada,2025-05-01,530310,22516.8,2.355174802813899
Canada,2025-06-01,550530,22551.6,2.4412015112009793
Canada,2025-07-01,559240,22570.9,2.4777035917929724
Canada,2025-08-01,557440,22571.3,2.4696849539016363
Canada,2025-09-01,554050,22576.9,2.454057022886224
Canada,2025-10-01,560030,22595.6,2.4784913877038006
Canada,2025-11-01,568420,22620,2.512908930150309
Canada,2025-12-01,569520,22650.6,2.514370480252179
Canada,2026-01-01,559370,22632.1,2.4715779799488335
Canada,2026-02-01,550600,22609.3,2.4352810569102092
Canada,2026-03-01,550440,22565.6,2.43928811997022
Canada,2026-04-01,547590,22572.7,2.4258949970539634
Canada,2026-05-01,547760,22590.2,2.4247682623438482
Canada,2026-06-01,544190,22604.3,2.4074622969965893
Canada,2026-07-01,547050,22627.4,2.4176440952119993
Ontario,2021-08-01,524300,8061.3,6.5039137608078095
Ontario,2021-09-01,425270,8104.6,5.247266984181823
Ontario,2021-10-01,227920,8129.8,2.8035130015498533
Ontario,2021-11-01,217890,8165.9,2.668291308980027
Ontario,2021-12-01,196150,8190.9,2.3947307377699643
Ontario,2022-01-01,197980,8193.4,2.4163350989821075
Ontario,2022-02-01,159330,8196.7,1.9438310539607402
Ontario,2022-03-01,144820,8184.5,1.7694422383774209
Ontario,2022-04-01,137410,8214.4,1.6727941176470589
Ontario,2022-05-01,133270,8225.6,1.6201857615249953
Ontario,2022-06-01,131850,8224.2,1.6031954475815273
Ontario,2022-07-01,137740,8211.5,1.6774036412348536
Ontario,2022-08-01,135600,8205.3,1.6525903988885235
Ontario,2022-09-01,132900,8206.9,1.6193690674919885
Ontario,2022-10-01,124930,8223.9,1.5191089385814516
Ontario,2022-11-01,116810,8245.3,1.4166858695256694
Ontario,2022-12-01,112660,8279.9,1.360644452227684
Ontario,2023-01-01,109280,8308.1,1.3153428581745525
Ontario,2023-02-01,110560,8335.7,1.3263433184975466
Ontario,2023-03-01,110930,8369.3,1.3254394035343458
Ontario,2023-04-01,111460,8394,1.3278532284965452
Ontario,2023-05-01,115420,8421.6,1.3705234159779616
Ontario,2023-06-01,120730,8456,1.4277436140018922
Ontario,2023-07-01,123940,8489.1,1.4599898693618876
Ontario,2023-08-01,131910,8521.7,1.5479305772322423
Ontario,2023-09-01,136020,8540.8,1.5925908579992507
Ontario,2023-10-01,140580,8564.3,1.6414651518512897
Ontario,2023-11-01,142000,8578.4,1.6553203394572416
Ontario,2023-12-01,144870,8580.9,1.6882844456875152
Ontario,2024-01-01,148450,8577.7,1.7306504074518811
Ontario,2024-02-01,147600,8590.5,1.7181770560502883
Ontario,2024-03-01,148710,8626.7,1.723834142835615
Ontario,2024-04-01,147100,8669,1.696850847848656
Ontario,2024-05-01,152010,8707.8,1.745676290222559
Ontario,2024-06-01,151820,8737.4,1.7375878407764322
Ontario,2024-07-01,156670,8762.1,1.7880416795060545
Ontario,2024-08-01,159060,8783.8,1.8108335799995445
Ontario,2024-09-01,159460,8800,1.8120454545454543
Ontario,2024-10-01,159350,8809.5,1.8088427266019638
Ontario,2024-11-01,159670,8829.4,1.808390151086144
Ontario,2024-12-01,159730,8848.8,1.8051035168610434
Ontario,2025-01-01,161530,8883.5,1.8183148533798617
Ontario,2025-02-01,167290,8895.5,1.880613793491091
Ontario,2025-03-01,168780,8900.5,1.8962979607887196
Ontario,2025-04-01,177370,8892.5,1.994602192859151
Ontario,2025-05-01,175820,8892,1.9772829509671617
Ontario,2025-06-01,184260,8894.5,2.0716172915846873
Ontario,2025-07-01,185710,8904,2.085691823899371
Ontario,2025-08-01,183990,8896,2.068232913669065
Ontario,2025-09-01,183470,8897.3,2.0620862508851
Ontario,2025-10-01,184760,8902.5,2.0753720864925582
Ontario,2025-11-01,189500,8915.3,2.1255594315390396
Ontario,2025-12-01,192100,8943.9,2.1478326009906192
Ontario,2026-01-01,192290,8918.6,2.156055883210369
Ontario,2026-02-01,186510,8908.4,2.0936419559067847
Ontario,2026-03-01,187680,8872.6,2.1152762437166106
Ontario,2026-04-01,185380,8895.3,2.084021899205198
Ontario,2026-05-01,185070,8904.2,2.078457357202219
Ontario,2026-06-01,182900,8908.2,2.053164500123482
Ontario,2026-07-01,184920,8911.5,2.0750715367783203
Region,2021-08-01,18230,342.6,5.3210741389375364
Region,2021-09-01,15170,344.1,4.408602150537634
Region,2021-10-01,8590,348.6,2.464142283419392
Region,2021-11-01,8180,351.3,2.3284941645317394
Region,2021-12-01,7380,352,2.096590909090909
Region,2022-01-01,6800,352.1,1.9312695257029253
Region,2022-02-01,5520,351.6,1.5699658703071673
Region,2022-03-01,4860,352.5,1.3787234042553191
Region,2022-04-01,4540,350.8,1.2941847206385404
Region,2022-05-01,4230,351.5,1.2034139402560455
Region,2022-06-01,4300,353.4,1.21675155631013
Region,2022-07-01,4330,357.9,1.2098351494830957
Region,2022-08-01,4540,362.9,1.2510333425186002
Region,2022-09-01,4540,364.3,1.2462256382102663
Region,2022-10-01,4250,365.9,1.161519540858158
Region,2022-11-01,4220,366,1.1530054644808743
Region,2022-12-01,4120,368.1,1.1192610703613148
Region,2023-01-01,4090,369.3,1.107500676956404
Region,2023-02-01,4020,369.4,1.0882512181916622
Region,2023-03-01,3910,369.3,1.0587598158678582
Region,2023-04-01,4010,371.5,1.0794078061911172
Region,2023-05-01,4200,375.9,1.1173184357541899
Region,2023-06-01,4410,380.1,1.1602209944751383
Region,2023-07-01,4620,384.5,1.2015604681404422
Region,2023-08-01,5020,386.5,1.2988357050452781
Region,2023-09-01,5370,387.8,1.3847343991748324
Region,2023-10-01,5480,387.4,1.4145585957666496
Region,2023-11-01,5640,388.9,1.4502442787348933
Region,2023-12-01,5660,390.6,1.44905273937532
Region,2024-01-01,5910,391.7,1.5088077610416135
Region,2024-02-01,5960,395.8,1.505811015664477
Region,2024-03-01,6170,400.6,1.5401897154268598
Region,2024-04-01,6150,405.6,1.5162721893491125
Region,2024-05-01,6210,407.4,1.524300441826215
Region,2024-06-01,6110,409.8,1.490971205466081
Region,2024-07-01,6300,410.4,1.5350877192982455
Region,2024-08-01,6370,410,1.553658536585366
Region,2024-09-01,6450,407.1,1.5843773028739867
Region,2024-10-01,6580,408.4,1.611165523996082
Region,2024-11-01,6660,412.5,1.6145454545454547
Region,2024-12-01,6690,418.8,1.5974212034383957
Region,2025-01-01,6660,423.6,1.5722379603399432
Region,2025-02-01,7020,423.9,1.6560509554140128
