geo,date,dwelling_type,starts_12,population,per_1000
Canada,2021-09-01,Single,63440,32089899,1.9769460788891857
Canada,2021-09-01,Semi-detached,12149,32089899,0.3785926530962282
Canada,2021-09-01,Row,26614,32089899,0.8293575495516518
Canada,2021-09-01,Apartment,138222,32089899,4.307336710533119
Canada,2021-10-01,Single,63395,32089899,1.9755437684612218
Canada,2021-10-01,Semi-detached,11991,32089899,0.3736689853713781
Canada,2021-10-01,Row,27208,32089899,0.8478680472007718
Canada,2021-10-01,Apartment,138720,32089899,4.3228556126025826
Canada,2021-11-01,Single,63407,32089899,1.9759177179086789
Canada,2021-11-01,Semi-detached,11833,32089899,0.36874531764652796
Canada,2021-11-01,Row,27281,32089899,0.8501429063394683
Canada,2021-11-01,Apartment,142286,32089899,4.433980923405212
Canada,2021-12-01,Single,63651,32089899,1.9835213566736374
Canada,2021-12-01,Semi-detached,11612,32089899,0.36185841532252877
Canada,2021-12-01,Row,27449,32089899,0.855378198603866
Canada,2021-12-01,Apartment,141939,32089899,4.423167551882915
Canada,2022-01-01,Single,62968,32734767,1.9235817380340603
Canada,2022-01-01,Semi-detached,11504,32734767,0.35143063642395866
Canada,2022-01-01,Row,27430,32734767,0.8379470060074049
Canada,2022-01-01,Apartment,139182,32734767,4.251809704342786
Canada,2022-02-01,Single,62570,32734767,1.9114234110785027
Canada,2022-02-01,Semi-detached,11555,32734767,0.3529886129936407
Canada,2022-02-01,Row,27282,32734767,0.833425819099308
Canada,2022-02-01,Apartment,139856,32734767,4.272399433910741
Canada,2022-03-01,Single,61645,32734767,1.8831659929028974
Canada,2022-03-01,Semi-detached,11330,32734767,0.3461151869509259
Canada,2022-03-01,Row,26815,32734767,0.8191596414906512
Canada,2022-03-01,Apartment,135424,32734767,4.137008215149355
Canada,2022-04-01,Single,61012,32734767,1.8638287543027265
Canada,2022-04-01,Semi-detached,11050,32734767,0.33756159009776976
Canada,2022-04-01,Row,27563,32734767,0.8420099645126541
Canada,2022-04-01,Apartment,135721,32734767,4.146081137525738
Canada,2022-05-01,Single,60801,32734767,1.8573830081026697
Canada,2022-05-01,Semi-detached,11089,32734767,0.33875298394517367
Canada,2022-05-01,Row,28073,32734767,0.8575897302094743
Canada,2022-05-01,Apartment,136445,32734767,4.168198295103185
Canada,2022-06-01,Single,60438,32734767,1.8462938807537563
Canada,2022-06-01,Semi-detached,10905,32734767,0.33313204887024245
Canada,2022-06-01,Row,28047,32734767,0.8567954676445383
Canada,2022-06-01,Apartment,136772,32734767,4.1781876742852635
Canada,2022-07-01,Single,59908,32734767,1.8301031438531392
