geo,date,index
Canada,2021-09-01,118.5
Canada,2021-10-01,119.6
Canada,2021-11-01,120.5
Canada,2021-12-01,120.8
Canada,2022-01-01,121.9
Canada,2022-02-01,123.2
Canada,2022-03-01,124.7
Canada,2022-04-01,125.1
Canada,2022-05-01,125.7
Canada,2022-06-01,125.9
Canada,2022-07-01,126
Canada,2022-08-01,126.1
Canada,2022-09-01,126
Canada,2022-10-01,125.7
Canada,2022-11-01,125.5
Canada,2022-12-01,125.5
Canada,2023-01-01,125.2
Canada,2023-02-01,124.9
Canada,2023-03-01,124.9
Canada,2023-04-01,124.8
Canada,2023-05-01,124.9
Canada,2023-06-01,125
Canada,2023-07-01,124.9
Canada,2023-08-01,125
Canada,2023-09-01,124.7
Canada,2023-10-01,124.7
Canada,2023-11-01,124.4
Canada,2023-12-01,124.4
Canada,2024-01-01,124.3
Canada,2024-02-01,124.4
Canada,2024-03-01,124.4
Canada,2024-04-01,124.7
Canada,2024-05-01,124.9
Canada,2024-06-01,124.7
Canada,2024-07-01,125
Canada,2024-08-01,125
Canada,2024-09-01,125
Canada,2024-10-01,124.5
Canada,2024-11-01,124.6
Canada,2024-12-01,124.5
Canada,2025-01-01,124.4
Canada,2025-02-01,124.5
Canada,2025-03-01,124.5
Canada,2025-04-01,124
Canada,2025-05-01,123.7
Canada,2025-06-01,123.4
Canada,2025-07-01,123.3
Canada,2025-08-01,122.9
Canada,2025-09-01,122.7
Canada,2025-10-01,122.2
Canada,2025-11-01,122.2
Canada,2025-12-01,122
Canada,2026-01-01,121.5
Canada,2026-02-01,121.9
Canada,2026-03-01,121.6
Canada,2026-04-01,121.1
Canada,2026-05-01,120.7
Canada,2026-06-01,120.6
Canada,2026-07-01,120.5
Canada,2026-08-01,120.4
Ontario,2021-09-01,121.3
Ontario,2021-10-01,122.8
Ontario,2021-11-01,124.2
Ontario,2021-12-01,124.4
Ontario,2022-01-01,124.8
Ontario,2022-02-01,125.6
Ontario,2022-03-01,126.5
Ontario,2022-04-01,126.8
Ontario,2022-05-01,127.2
Ontario,2022-06-01,127.5
Ontario,2022-07-01,127.5
Ontario,2022-08-01,127.6
Ontario,2022-09-01,127.4
Ontario,2022-10-01,127.4
Ontario,2022-11-01,127.3
Ontario,2022-12-01,127.3
Ontario,2023-01-01,127.2
Ontario,2023-02-01,126.8
Ontario,2023-03-01,126.7
Ontario,2023-04-01,126.4
Ontario,2023-05-01,126.3
Ontario,2023-06-01,126.3
Ontario,2023-07-01,126.2
Ontario,2023-08-01,125.8
Ontario,2023-09-01,125.7
Ontario,2023-10-01,125.6
Ontario,2023-11-01,125.2
Ontario,2023-12-01,125.1
Ontario,2024-01-01,125
Ontario,2024-02-01,125
Ontario,2024-03-01,124.8
Ontario,2024-04-01,124.8
Ontario,2024-05-01,124.7
Ontario,2024-06-01,124.5
Ontario,2024-07-01,124.5
Ontario,2024-08-01,124.5
Ontario,2024-09-01,124.5
Ontario,2024-10-01,123.6
Ontario,2024-11-01,123.8
Ontario,2024-12-01,123.6
Ontario,2025-01-01,123.3
Ontario,2025-02-01,123.4
Ontario,2025-03-01,123.2
Ontario,2025-04-01,122.7
Ontario,2025-05-01,122.1
Ontario,2025-06-01,122
Ontario,2025-07-01,121.8
Ontario,2025-08-01,121.6
Ontario,2025-09-01,121
Ontario,2025-10-01,120.3
Ontario,2025-11-01,120.2
Ontario,2025-12-01,120
Ontario,2026-01-01,119.4
Ontario,2026-02-01,119.3
Ontario,2026-03-01,118.5
Ontario,2026-04-01,117.9
Ontario,2026-05-01,117.7
Ontario,2026-06-01,117.8
Ontario,2026-07-01,117.6
Ontario,2026-08-01,117.5
Region,2021-09-01,143.1
Region,2021-10-01,148.5
Region,2021-11-01,151.3
Region,2021-12-01,154.7
Region,2022-01-01,154.7
Region,2022-02-01,157.9
Region,2022-03-01,159.5
Region,2022-04-01,159.5
Region,2022-05-01,159.5
Region,2022-06-01,160.2
Region,2022-07-01,159
Region,2022-08-01,159.4
Region,2022-09-01,158.4
Region,2022-10-01,158.8
Region,2022-11-01,158.8
Region,2022-12-01,158.8
Region,2023-01-01,157.3
Region,2023-02-01,156.2
Region,2023-03-01,156.3
Region,2023-04-01,157.1
Region,2023-05-01,157.5
Region,2023-06-01,158.8
Region,2023-07-01,158.5
Region,2023-08-01,158.5
Region,2023-09-01,158.5
Region,2023-10-01,158.8
Region,2023-11-01,157.5
Region,2023-12-01,156.8
Region,2024-01-01,156.9
Region,2024-02-01,156.9
Region,2024-03-01,156.5
Region,2024-04-01,155.9
Region,2024-05-01,155.3
Region,2024-06-01,154.9
Region,2024-07-01,154.2
Region,2024-08-01,154
Region,2024-09-01,154.1
Region,2024-10-01,154.3
Region,2024-11-01,154.7
Region,2024-12-01,154.6
Region,2025-01-01,154.6
Region,2025-02-01,156.1
Region,2025-03-01,156.3
Region,2025-04-01,156.3
Region,2025-05-01,155.6
Region,2025-06-01,155.6
Region,2025-07-01,155.1
Region,2025-08-01,155.1
Region,2025-09-01,153.5
Region,2025-10-01,152.9
Region,2025-11-01,153.4
Region,2025-12-01,153
Region,2026-01-01,153
Region,2026-02-01,153
Region,2026-03-01,151.3
Region,2026-04-01,149.8
Region,2026-05-01,149.9
Region,2026-06-01,150.9
Region,2026-07-01,151
Region,2026-08-01,150.4
