geo,year,component,people,population,per_1000
Canada,2020,Natural increase,55266,38028638,1.4532731884849517
Canada,2021,Natural increase,39570,38239864,1.0347840149222287
Canada,2022,Natural increase,20227,38950132,0.5193050436902242
Canada,2023,Natural increase,31274,40049088,0.7808916897183776
Canada,2024,Natural increase,34229,41262329,0.8295460006632199
Ontario,2020,Natural increase,20231,14761811,1.370495801633011
Ontario,2021,Natural increase,18260,14842488,1.2302519631479574
Ontario,2022,Natural increase,11969,15155836,0.7897287883030669
Ontario,2023,Natural increase,19701,15632481,1.2602606073853537
Ontario,2024,Natural increase,20336,16144797,1.259600848496268
Region,2020,Natural increase,2031,606912,3.3464489085732363
Region,2021,Natural increase,2105,614268,3.4268430066355404
Region,2022,Natural increase,1801,639293,2.8171745975632456
Region,2023,Natural increase,2677,675438,3.9633541494556126
Region,2024,Natural increase,2737,709974,3.855070749069684
Canada,2020,Immigrants,226314,38028638,5.951146606933437
Canada,2021,Immigrants,493236,38239864,12.898476835587072
Canada,2022,Immigrants,468913,38950132,12.038803873630004
Canada,2023,Immigrants,464344,40049088,11.594371387433341
Canada,2024,Immigrants,435421,41262329,10.55250662171784
Ontario,2020,Immigrants,107908,14761811,7.309943204123126
Ontario,2021,Immigrants,227424,14842488,15.322498492166542
Ontario,2022,Immigrants,199332,15155836,13.152161319243623
Ontario,2023,Immigrants,197689,15632481,12.646041277772863
Ontario,2024,Immigrants,190576,16144797,11.804174434649132
Region,2020,Immigrants,4532,606912,7.467309923020141
Region,2021,Immigrants,10583,614268,17.22863636067645
Region,2022,Immigrants,9613,639293,15.036923601541078
Region,2023,Immigrants,9294,675438,13.759960203601219
Region,2024,Immigrants,9819,709974,13.830083918566032
Canada,2020,Net non-permanent residents,-51719,38028638,-1.360001375805255
Canada,2021,Net non-permanent residents,224715,38239864,5.87645918405986
Canada,2022,Net non-permanent residents,671525,38950132,17.240634768580502
Canada,2023,Net non-permanent residents,781075,40049088,19.50294099081607
Canada,2024,Net non-permanent residents,-14954,41262329,-0.36241289239877855
Ontario,2020,Net non-permanent residents,-26075,14761811,-1.7663821871178274
Ontario,2021,Net non-permanent residents,120931,14842488,8.147623228666244
Ontario,2022,Net non-permanent residents,324688,15155836,21.42329858940147
Ontario,2023,Net non-permanent residents,367710,15632481,23.522177957548774
Ontario,2024,Net non-permanent residents,-48664,16144797,-3.0142218573575126
Region,2020,Net non-permanent residents,-1393,606912,-2.2952256669830224
Region,2021,Net non-permanent residents,12788,614268,20.818274759551205
Region,2022,Net non-permanent residents,28283,639293,44.24106004601959
Region,2023,Net non-permanent residents,27451,675438,40.641776151178945
Region,2024,Net non-permanent residents,-7353,709974,-10.356717288238725
Ontario,2020,Net migration within Canada,-18405,14761811,-1.2467982417604453
Ontario,2021,Net migration within Canada,-31018,14842488,-2.0898113577723625
Ontario,2022,Net migration within Canada,-29730,15155836,-1.9616205928858033
Ontario,2023,Net migration within Canada,-42689,15632481,-2.730788542138641
Ontario,2024,Net migration within Canada,-17779,16144797,-1.1012216505416574
Region,2020,Net migration within Canada,1613,606912,2.657716439945165
Region,2021,Net migration within Canada,693,614268,1.1281720682177812
Region,2022,Net migration within Canada,-1877,639293,-2.9360559242788518
Region,2023,Net migration within Canada,-3046,675438,-4.509666320224802
Region,2024,Net migration within Canada,-1827,709974,-2.5733336713738812
