geo,year,population,percent
Canada,2021,38239864,0.555439298141569
Canada,2022,38950132,1.8574020033125693
Canada,2023,40049088,2.8214435832977447
Canada,2024,41262329,3.029384838925675
Canada,2025,41651653,0.9435337496339624
Ontario,2021,14842488,0.5465250842189961
Ontario,2022,15155836,2.1111554882173422
Ontario,2023,15632481,3.1449601328491505
Ontario,2024,16144797,3.277253303554306
Ontario,2025,16258260,0.7027836893830353
Region,2021,614268,1.2120373299588705
Region,2022,639293,4.073954690786441
Region,2023,675438,5.653902044915249
Region,2024,709974,5.1131265934105
Region,2025,711457,0.20888088859591925
