geo,date,age,measure,percent
Canada,2021-09-01,15 to 24 years,Participation rate,70.1
Canada,2021-10-01,15 to 24 years,Participation rate,66.2
Canada,2021-11-01,15 to 24 years,Participation rate,63
Canada,2021-12-01,15 to 24 years,Participation rate,62.8
Canada,2022-01-01,15 to 24 years,Participation rate,62.1
Canada,2022-02-01,15 to 24 years,Participation rate,61.9
Canada,2022-03-01,15 to 24 years,Participation rate,61.6
Canada,2022-04-01,15 to 24 years,Participation rate,62.4
Canada,2022-05-01,15 to 24 years,Participation rate,64.6
Canada,2022-06-01,15 to 24 years,Participation rate,67.4
Canada,2022-07-01,15 to 24 years,Participation rate,71.3
Canada,2022-08-01,15 to 24 years,Participation rate,72.3
Canada,2022-09-01,15 to 24 years,Participation rate,69.4
Canada,2022-10-01,15 to 24 years,Participation rate,65.5
Canada,2022-11-01,15 to 24 years,Participation rate,62.3
Canada,2022-12-01,15 to 24 years,Participation rate,62.6
Canada,2023-01-01,15 to 24 years,Participation rate,62.4
Canada,2023-02-01,15 to 24 years,Participation rate,62.4
Canada,2023-03-01,15 to 24 years,Participation rate,62.3
Canada,2023-04-01,15 to 24 years,Participation rate,62.5
Canada,2023-05-01,15 to 24 years,Participation rate,64.4
Canada,2023-06-01,15 to 24 years,Participation rate,67
Canada,2023-07-01,15 to 24 years,Participation rate,70.9
Canada,2023-08-01,15 to 24 years,Participation rate,72.4
Canada,2023-09-01,15 to 24 years,Participation rate,69.6
Canada,2023-10-01,15 to 24 years,Participation rate,65.4
Canada,2023-11-01,15 to 24 years,Participation rate,61.6
Canada,2023-12-01,15 to 24 years,Participation rate,61.2
Canada,2024-01-01,15 to 24 years,Participation rate,60.2
Canada,2024-02-01,15 to 24 years,Participation rate,59.8
Canada,2024-03-01,15 to 24 years,Participation rate,59.8
Canada,2024-04-01,15 to 24 years,Participation rate,60.4
Canada,2024-05-01,15 to 24 years,Participation rate,62.6
Canada,2024-06-01,15 to 24 years,Participation rate,65.2
Canada,2024-07-01,15 to 24 years,Participation rate,68.7
Canada,2024-08-01,15 to 24 years,Participation rate,69.9
Canada,2024-09-01,15 to 24 years,Participation rate,67.3
Canada,2024-10-01,15 to 24 years,Participation rate,63.4
Canada,2024-11-01,15 to 24 years,Participation rate,60.1
