geo,year,bedroom_type,value,quality
Canada,2021,2 Bedroom,3,Excellent
Canada,2022,2 Bedroom,5.5,Excellent
Canada,2023,2 Bedroom,7.9,Excellent
Canada,2024,2 Bedroom,5.4,Excellent
Canada,2025,2 Bedroom,5.1,Excellent
Ontario,2021,2 Bedroom,2.7,Excellent
Ontario,2022,2 Bedroom,6.3,Excellent
Ontario,2023,2 Bedroom,8,Excellent
Ontario,2024,2 Bedroom,4,Excellent
Ontario,2025,2 Bedroom,3.8,Excellent
Region,2021,2 Bedroom,3.3,Very good
Region,2022,2 Bedroom,7,Very good
Region,2023,2 Bedroom,7.4,Very good
Region,2024,2 Bedroom,4.3,Very good
Region,2025,2 Bedroom,3.4,Very good
