geo,date,percent
Canada,2021-09-01,11.8
Canada,2021-10-01,10.6
Canada,2021-11-01,9.8
Canada,2021-12-01,9.1
Canada,2022-01-01,10.5
Canada,2022-02-01,10.8
Canada,2022-03-01,11.1
Canada,2022-04-01,10.2
Canada,2022-05-01,10.2
Canada,2022-06-01,10
Canada,2022-07-01,9.8
Canada,2022-08-01,9.5
Canada,2022-09-01,9.9
Canada,2022-10-01,9.9
Canada,2022-11-01,10
Canada,2022-12-01,9.2
Canada,2023-01-01,9.4
Canada,2023-02-01,9.5
Canada,2023-03-01,10.1
Canada,2023-04-01,9.9
Canada,2023-05-01,10.5
Canada,2023-06-01,11
Canada,2023-07-01,11.4
Canada,2023-08-01,11.2
Canada,2023-09-01,11.2
Canada,2023-10-01,11
Canada,2023-11-01,10.9
Canada,2023-12-01,10.5
Canada,2024-01-01,10.7
Canada,2024-02-01,10.9
Canada,2024-03-01,12.1
Canada,2024-04-01,12.7
Canada,2024-05-01,13.4
Canada,2024-06-01,13.6
Canada,2024-07-01,13.9
Canada,2024-08-01,14.1
Canada,2024-09-01,13.9
Canada,2024-10-01,13.1
Canada,2024-11-01,12.7
Canada,2024-12-01,12.5
Canada,2025-01-01,13.3
Canada,2025-02-01,13
Canada,2025-03-01,13.5
Canada,2025-04-01,13.6
Canada,2025-05-01,14.7
Canada,2025-06-01,14.8
Canada,2025-07-01,15
Canada,2025-08-01,14.7
Canada,2025-09-01,14.7
Canada,2025-10-01,14
Canada,2025-11-01,13.1
Canada,2025-12-01,12.1
Canada,2026-01-01,12.1
Canada,2026-02-01,12.9
Canada,2026-03-01,13.9
Canada,2026-04-01,14.5
Canada,2026-05-01,14.7
Canada,2026-06-01,14
Canada,2026-07-01,13.5
Canada,2026-08-01,13.1
Ontario,2021-09-01,14
Ontario,2021-10-01,11.7
Ontario,2021-11-01,10.5
Ontario,2021-12-01,9.4
Ontario,2022-01-01,11.6
Ontario,2022-02-01,12.2
Ontario,2022-03-01,12.7
Ontario,2022-04-01,11.2
Ontario,2022-05-01,11.4
Ontario,2022-06-01,11.4
Ontario,2022-07-01,11.5
Ontario,2022-08-01,10.9
Ontario,2022-09-01,11.2
Ontario,2022-10-01,11.2
Ontario,2022-11-01,11.5
Ontario,2022-12-01,10.4
Ontario,2023-01-01,10.4
Ontario,2023-02-01,10.3
Ontario,2023-03-01,10.9
Ontario,2023-04-01,10.6
Ontario,2023-05-01,12
Ontario,2023-06-01,13.1
Ontario,2023-07-01,14
Ontario,2023-08-01,13.4
Ontario,2023-09-01,13.2
Ontario,2023-10-01,13.2
Ontario,2023-11-01,13
Ontario,2023-12-01,12.5
Ontario,2024-01-01,12.1
Ontario,2024-02-01,12.5
Ontario,2024-03-01,14.2
Ontario,2024-04-01,15.1
Ontario,2024-05-01,16.4
Ontario,2024-06-01,16.6
Ontario,2024-07-01,17.1
Ontario,2024-08-01,17.1
Ontario,2024-09-01,16.6
Ontario,2024-10-01,15.2
Ontario,2024-11-01,14.7
Ontario,2024-12-01,15
Ontario,2025-01-01,16.4
Ontario,2025-02-01,15.8
Ontario,2025-03-01,16
Ontario,2025-04-01,15.5
Ontario,2025-05-01,16.5
Ontario,2025-06-01,16.6
Ontario,2025-07-01,17
Ontario,2025-08-01,16.9
Ontario,2025-09-01,17.1
Ontario,2025-10-01,16.3
Ontario,2025-11-01,15.4
Ontario,2025-12-01,14.1
Ontario,2026-01-01,13.9
Ontario,2026-02-01,14.4
Ontario,2026-03-01,15.7
Ontario,2026-04-01,16.9
Ontario,2026-05-01,17.2
Ontario,2026-06-01,16.2
Ontario,2026-07-01,15.6
Ontario,2026-08-01,15.1
Region,2021-09-01,13.8
Region,2021-10-01,12.6
Region,2021-11-01,10.2
Region,2021-12-01,10.2
Region,2022-01-01,8.8
Region,2022-02-01,9.7
Region,2022-03-01,11.5
Region,2022-04-01,12.6
Region,2022-05-01,14.5
Region,2022-06-01,13.7
Region,2022-07-01,13.1
Region,2022-08-01,12.6
Region,2022-09-01,12.7
Region,2022-10-01,14.9
Region,2022-11-01,14.8
Region,2022-12-01,13.6
Region,2023-01-01,10.8
Region,2023-02-01,10.8
Region,2023-03-01,12.2
Region,2023-04-01,13.6
Region,2023-05-01,15.5
Region,2023-06-01,15.1
Region,2023-07-01,16.4
Region,2023-08-01,14.8
Region,2023-09-01,14.9
Region,2023-10-01,14.5
Region,2023-11-01,13.8
Region,2023-12-01,13.1
Region,2024-01-01,13.5
Region,2024-02-01,15.9
Region,2024-03-01,17.3
Region,2024-04-01,14.6
Region,2024-05-01,15.6
Region,2024-06-01,16.6
Region,2024-07-01,18.6
Region,2024-08-01,17.4
Region,2024-09-01,18.2
Region,2024-10-01,18.3
Region,2024-11-01,18.3
Region,2024-12-01,17.3
Region,2025-01-01,18.5
Region,2025-02-01,18.5
Region,2025-03-01,17.8
Region,2025-04-01,16.1
Region,2025-05-01,14.9
Region,2025-06-01,15.4
Region,2025-07-01,15.7
Region,2025-08-01,18.1
Region,2025-09-01,20.9
Region,2025-10-01,21.9
Region,2025-11-01,21.4
Region,2025-12-01,18.8
Region,2026-01-01,18.8
Region,2026-02-01,17.5
Region,2026-03-01,18.2
Region,2026-04-01,18.4
Region,2026-05-01,20.5
Region,2026-06-01,20.9
Region,2026-07-01,22.2
Region,2026-08-01,22.4
